transaction_id,timestamp,amount,currency,channel_id,channel_description,payment_method,settlement_date,actual_settlement_date,reconciliation_status,processing_fee,reference_number,settlement_delay_days,is_anomaly,anomaly_type,anomaly_reason,hour,day_of_week,is_weekend,is_business_hours,channel_avg_amount,channel_std_amount,amount_deviation
TXN_EE8F8EB3,2024-01-06 00:00:00,204.15,GBP,CHANNEL_007,Airlines Holidays,DIGITAL_WALLET,2024-03-11,2024-03-11,MATCHED,5.52,REF_432043,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,289.37843749999996,201.46105413533996,0.4230516804639777
TXN_710EA933,2024-01-06 00:00:00,1044.03,USD,CHANNEL_006,FLY,AMOP,2024-05-06,2024-05-06,MATCHED,17.14,REF_827369,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,371.08757800219786,994.9815597278657,0.6763365767118904
TXN_71B86799,2024-01-06 00:00:00,215.22,EUR,CHANNEL_003,Staff Travel,DIGITAL_WALLET,2024-04-23,2024-04-23,MATCHED,2.56,REF_265603,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,495.366892976174,1638.3171994323789,0.17099673559749926
TXN_B8953C2F,2024-01-06 00:00:00,680.79,GBP,CHANNEL_009,ANDC,AMOP,2024-01-25,2024-01-27,MATCHED,10.35,REF_975355,2,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,585.2624009644618,1888.243275053581,0.05059072646919792
TXN_CFAD9057,2024-01-06 00:00:00,139.55,GBP,CHANNEL_009,ANDC,CARD,2024-01-30,2024-01-30,MATCHED,3.61,REF_651186,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,585.2624009644618,1888.243275053581,0.2360460682439418
TXN_AA96A7E6,2024-01-06 00:00:00,139.59,USD,CHANNEL_009,ANDC,CARD,2024-04-24,2024-04-24,MATCHED,3.83,REF_276299,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,585.2624009644618,1888.243275053581,0.23602488453285517
TXN_12C26049,2024-01-06 01:15:00,235.38,USD,CHANNEL_009,ANDC,AMOP,2024-01-09,2024-01-09,MATCHED,4.66,REF_469007,0,False,,,1,5,True,False,585.2624009644618,1888.243275053581,0.18529519240815698
TXN_016341B3,2024-01-06 08:43:00,232.0,GBP,CHANNEL_006,FLY,CARD,2024-01-09,2024-01-09,MATCHED,6.11,REF_345637,0,False,,,8,5,True,False,371.08757800219786,994.9815597278657,0.13978910125755423
TXN_906BF383,2024-01-06 10:13:00,156.28,GBP,CHANNEL_009,ANDC,CARD,2024-01-08,2024-01-08,MATCHED,3.27,REF_248213,0,False,,,10,5,True,True,585.2624009644618,1888.243275053581,0.2271859810819604
TXN_49C884AD,2024-01-06 18:24:00,165.08,USD,CHANNEL_008,Contact Center,CARD,2024-01-08,2024-01-08,UNMATCHED,2.64,REF_539375,0,False,,,18,5,True,False,306.0762376237624,215.62196186312508,0.6539048082368601
TXN_B0A215B9,2024-01-06 18:48:00,178.45,GBP,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-07,2024-01-07,MATCHED,2.93,REF_910326,0,False,,,18,5,True,False,241.44414893617022,171.1966887643904,0.36796359433602127
TXN_EF1F9B89,2024-01-06 19:09:00,121.69,USD,CHANNEL_004,New .com,CARD,2024-01-09,2024-01-09,MATCHED,2.85,REF_368690,0,False,,,19,5,True,False,413.8197789891696,956.7559280432754,0.30533364928987006
TXN_0801FAF8,2024-01-06 22:52:00,270.17,EUR,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-09,2024-01-09,MATCHED,5.71,REF_472932,0,False,,,22,5,True,False,241.44414893617022,171.1966887643904,0.16779443148788803
TXN_7A269803,2024-01-07 00:00:00,207.3,EUR,CHANNEL_004,New .com,AMOP,2024-01-03,2024-01-03,MATCHED,4.59,REF_324082,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,6,True,False,413.8197789891696,956.7559280432754,0.21585419325442468
TXN_4D7DE279,2024-01-07 00:00:00,89.26,EUR,CHANNEL_002,Mobile App,DIGITAL_WALLET,2024-03-18,2024-03-18,MATCHED,2.25,REF_599127,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,6,True,False,289.71385321100917,220.87662228085722,0.9075376612565211
TXN_31E02B94,2024-01-07 00:00:00,361.42,GBP,CHANNEL_010,PBL,AMOP,2024-03-09,2024-03-09,MATCHED,8.05,REF_616428,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,6,True,False,385.4075653356448,1550.0644555145593,0.0154752050795732
TXN_86081EC9,2024-01-07 00:00:00,96.46,EUR,CHANNEL_001,Airlines.com,DIGITAL_WALLET,2024-04-14,2024-04-14,MATCHED,1.86,REF_893188,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,6,True,False,529.5399166114732,1898.670997744395,0.22809634587875863
TXN_A9F900D6,2024-01-07 09:43:00,824.94,USD,CHANNEL_002,Mobile App,AMOP,2024-01-08,2024-01-08,MATCHED,17.99,REF_185000,0,False,,,9,6,True,True,289.71385321100917,220.87662228085722,2.4231905634106465
TXN_5BBAA81A,2024-01-07 11:35:00,338.34,USD,CHANNEL_010,PBL,AMOP,2024-01-10,2024-01-10,MATCHED,8.82,REF_168941,0,False,,,11,6,True,True,385.4075653356448,1550.0644555145593,0.030364908483770287
TXN_6B7E07A8,2024-01-07 12:33:00,194.18,USD,CHANNEL_002,Mobile App,CARD,2024-01-08,2024-01-08,MATCHED,4.34,REF_424398,0,False,,,12,6,True,True,289.71385321100917,220.87662228085722,0.43252134256894065
TXN_600768FC,2024-01-07 15:06:00,835.29,GBP,CHANNEL_005,NDC,AMOP,2024-01-10,2024-01-10,MATCHED,10.29,REF_577450,0,False,,,15,6,True,True,241.44414893617022,171.1966887643904,3.4687928566253445
TXN_38489A4D,2024-01-07 23:14:00,112.88,GBP,CHANNEL_007,Airlines Holidays,CARD,2024-01-09,2024-01-09,MATCHED,1.57,REF_201424,0,False,,,23,6,True,False,289.37843749999996,201.46105413533996,0.8760920975893917
TXN_9C5F40B5,2024-01-08 03:56:00,124.91,EUR,CHANNEL_005,NDC,CARD,2024-01-10,2024-01-15,MATCHED,3.65,REF_863934,5,False,,,3,0,False,False,241.44414893617022,171.1966887643904,0.6807032879972957
TXN_483D5DB0,2024-01-08 04:54:00,184.51,USD,CHANNEL_010,PBL,DIGITAL_WALLET,2024-01-09,2024-01-09,MATCHED,1.97,REF_479742,0,False,,,4,0,False,False,385.4075653356448,1550.0644555145593,0.12960594291477695
TXN_BD184AF8,2024-01-08 05:12:00,240.62,GBP,CHANNEL_004,New .com,CARD,2024-01-09,2024-01-09,MATCHED,2.57,REF_387286,0,False,,,5,0,False,False,413.8197789891696,956.7559280432754,0.18102817438862584
TXN_A9B2E169,2024-01-08 12:03:00,181.09,GBP,CHANNEL_003,Staff Travel,DIGITAL_WALLET,2024-01-11,2024-01-11,MATCHED,4.92,REF_783238,0,False,,,12,0,False,True,495.366892976174,1638.3171994323789,0.19182908723967507
TXN_83F36DC3,2024-01-08 15:27:00,119.41,EUR,CHANNEL_001,Airlines.com,DIGITAL_WALLET,2024-01-10,2024-01-10,MATCHED,3.43,REF_457356,0,False,,,15,0,False,True,529.5399166114732,1898.670997744395,0.21600894367623677
TXN_A3A5D5AA,2024-01-08 17:17:00,262.62,USD,CHANNEL_004,New .com,CARD,2024-01-11,2024-01-11,MATCHED,7.34,REF_646012,0,False,,,17,0,False,True,413.8197789891696,956.7559280432754,0.15803380418911878
TXN_EDCC5841,2024-01-08 20:38:00,173.66,GBP,CHANNEL_004,New .com,DIGITAL_WALLET,2024-01-09,2024-01-09,MATCHED,2.82,REF_982277,0,False,,,20,0,False,False,413.8197789891696,956.7559280432754,0.25101467568676183
TXN_276DB0AA,2024-01-08 21:56:00,457.2,USD,CHANNEL_003,Staff Travel,AMOP,2024-01-10,2024-01-10,MATCHED,5.6,REF_786789,0,False,,,21,0,False,False,495.366892976174,1638.3171994323789,0.023296400104569195
TXN_75649053,2024-01-09 00:39:00,134.74,EUR,CHANNEL_002,Mobile App,CARD,2024-01-10,2024-01-10,MATCHED,3.12,REF_842470,0,False,,,0,1,False,False,289.71385321100917,220.87662228085722,0.7016308544140587
TXN_0E221DF5,2024-01-09 02:52:00,138.05,USD,CHANNEL_001,Airlines.com,CARD,2024-01-12,2024-01-12,MATCHED,1.76,REF_109585,0,False,,,2,1,False,False,529.5399166114732,1898.670997744395,0.20619155034050657
TXN_8026D41D,2024-01-09 09:01:00,344.34,GBP,CHANNEL_006,FLY,AMOP,2024-01-10,2024-01-10,MATCHED,3.95,REF_178645,0,False,,,9,1,False,True,371.08757800219786,994.9815597278657,0.026882486153324822
TXN_D92E1650,2024-01-09 09:38:00,157.52,GBP,CHANNEL_001,Airlines.com,DIGITAL_WALLET,2024-01-11,2024-01-13,MATCHED,4.7,REF_430201,2,False,,,9,1,False,True,529.5399166114732,1898.670997744395,0.19593700912555664
TXN_693AF125,2024-01-09 13:56:00,409.35,USD,CHANNEL_002,Mobile App,AMOP,2024-01-11,2024-01-11,MATCHED,6.67,REF_285460,0,False,,,13,1,False,True,289.71385321100917,220.87662228085722,0.5416424135500708
TXN_AD862037,2024-01-09 19:20:00,101.42,EUR,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-12,2024-01-12,MATCHED,1.26,REF_326183,0,False,,,19,1,False,False,241.44414893617022,171.1966887643904,0.8179138857579108
TXN_A4577E98,2024-01-09 21:36:00,414.12,USD,CHANNEL_010,PBL,AMOP,2024-01-10,2024-01-10,UNMATCHED,11.76,REF_269172,0,False,,,21,1,False,False,385.4075653356448,1550.0644555145593,0.0185233811163187
TXN_2C3B7ED9,2024-01-09 22:23:00,670.49,USD,CHANNEL_004,New .com,AMOP,2024-01-11,2024-01-11,MATCHED,19.45,REF_670913,0,False,,,22,1,False,False,413.8197789891696,956.7559280432754,0.26827136732328755
TXN_BDFF227B,2024-01-10 23:09:00,98.36,GBP,CHANNEL_008,Contact Center,DIGITAL_WALLET,2024-01-13,2024-01-15,MATCHED,1.91,REF_763393,2,False,,,23,2,False,False,306.0762376237624,215.62196186312508,0.9633352550405733
TXN_A8A12332,2024-01-11 10:59:00,192.88,USD,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-14,2024-01-14,MATCHED,5.74,REF_778324,0,False,,,10,3,False,True,241.44414893617022,171.1966887643904,0.28367458089686937
TXN_229C10BC,2024-01-11 15:14:00,245.06,GBP,CHANNEL_001,Airlines.com,DIGITAL_WALLET,2024-01-13,2024-01-13,MATCHED,5.85,REF_870269,0,False,,,15,3,False,True,529.5399166114732,1898.670997744395,0.1498310749726693
TXN_A2F1FF73,2024-01-11 21:13:00,285.98,USD,CHANNEL_009,ANDC,AMOP,2024-01-13,2024-01-13,MATCHED,5.55,REF_780027,0,False,,,21,3,False,False,585.2624009644618,1888.243275053581,0.15849779788357476
TXN_F4CBBB85,2024-01-11 23:28:00,168.87,USD,CHANNEL_009,ANDC,CARD,2024-01-14,2024-01-14,MATCHED,2.03,REF_133796,0,False,,,23,3,False,False,585.2624009644618,1888.243275053581,0.22051840801744477
TXN_D57EEC56,2024-01-12 00:21:00,168.07,USD,CHANNEL_003,Staff Travel,DIGITAL_WALLET,2024-01-14,2024-01-14,MATCHED,2.22,REF_110139,0,False,,,0,4,False,False,495.366892976174,1638.3171994323789,0.1997762662136314
TXN_3298970D,2024-01-12 18:11:00,121.17,GBP,CHANNEL_006,FLY,CARD,2024-01-14,2024-01-14,MATCHED,1.88,REF_273021,0,False,,,18,4,False,False,371.08757800219786,994.9815597278657,0.25117810029620247
TXN_79842663,2024-01-12 20:53:00,239.79,USD,CHANNEL_010,PBL,CARD,2024-01-15,2024-01-15,MATCHED,4.59,REF_623059,0,False,,,20,4,False,False,385.4075653356448,1550.0644555145593,0.09394290980455106
TXN_B161E072,2024-01-12 22:33:00,156.41,USD,CHANNEL_007,Airlines Holidays,CARD,2024-01-14,2024-01-14,MATCHED,4.03,REF_898531,0,False,,,22,4,False,False,289.37843749999996,201.46105413533996,0.6600205586667526
TXN_52E61090,2024-01-12 23:29:00,177.13,USD,CHANNEL_009,ANDC,CARD,2024-01-14,2024-01-14,MATCHED,2.05,REF_479201,0,False,,,23,4,False,False,585.2624009644618,1888.243275053581,0.21614397167805646
TXN_C822F552,2024-01-13 06:18:00,778.4,USD,CHANNEL_008,Contact Center,AMOP,2024-01-15,2024-01-15,MATCHED,19.83,REF_742917,0,False,,,6,5,True,False,306.0762376237624,215.62196186312508,2.1905178781188557
TXN_340F9103,2024-01-13 09:18:00,187.67,GBP,CHANNEL_009,ANDC,DIGITAL_WALLET,2024-01-16,2024-01-16,MATCHED,3.81,REF_889188,0,False,,,9,5,True,True,585.2624009644618,1888.243275053581,0.21056206380673045
TXN_CB1CD73D,2024-01-13 09:52:00,455.05,EUR,CHANNEL_002,Mobile App,AMOP,2024-01-16,2024-01-16,MATCHED,6.1,REF_219726,0,False,,,9,5,True,True,289.71385321100917,220.87662228085722,0.7485452515601968
TXN_7BABE634,2024-01-13 12:06:00,180.68,GBP,CHANNEL_003,Staff Travel,CARD,2024-01-15,2024-01-15,MATCHED,4.75,REF_880762,0,False,,,12,5,True,True,495.366892976174,1638.3171994323789,0.19207934402764146
TXN_ED5EC261,2024-01-13 20:07:00,887.79,EUR,CHANNEL_008,Contact Center,AMOP,2024-01-15,2024-01-15,MATCHED,21.96,REF_881984,0,False,,,20,5,True,False,306.0762376237624,215.62196186312508,2.697840968284596
TXN_CE47C330,2024-01-13 21:46:00,565.75,EUR,CHANNEL_007,Airlines Holidays,AMOP,2024-01-14,2024-01-14,MATCHED,12.17,REF_513477,0,False,,,21,5,True,False,289.37843749999996,201.46105413533996,1.371836177896378
TXN_FD72E9A9,2024-01-14 04:47:00,238.27,GBP,CHANNEL_007,Airlines Holidays,DIGITAL_WALLET,2024-01-16,2024-01-16,MATCHED,5.94,REF_722503,0,False,,,4,6,True,False,289.37843749999996,201.46105413533996,0.2536889212624972
TXN_BBA42797,2024-01-14 05:50:00,182.27,GBP,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-15,2024-01-15,MATCHED,3.92,REF_573039,0,False,,,5,6,True,False,241.44414893617022,171.1966887643904,0.34565007865081254
TXN_44B0EA68,2024-01-14 07:54:00,385.85,EUR,CHANNEL_008,Contact Center,AMOP,2024-01-17,2024-01-17,MATCHED,9.78,REF_850689,0,False,,,7,6,True,False,306.0762376237624,215.62196186312508,0.3699704876392755
TXN_612F9C45,2024-01-14 10:27:00,839.01,GBP,CHANNEL_007,Airlines Holidays,AMOP,2024-01-16,2024-01-16,MATCHED,19.8,REF_145576,0,False,,,10,6,True,True,289.37843749999996,201.46105413533996,2.7282273730721265
TXN_A7CD673E,2024-01-14 10:33:00,128.53,EUR,CHANNEL_004,New .com,CARD,2024-01-15,2024-01-15,MATCHED,2.88,REF_189689,0,True,duplicate,Duplicate transaction detected.,10,6,True,True,413.8197789891696,956.7559280432754,0.2981844905551142
TXN_A254E0AE,2024-01-14 10:33:00,128.53,EUR,CHANNEL_004,New .com,CARD,2024-01-15,2024-01-15,MATCHED,2.88,REF_189689,0,True,duplicate,Duplicate transaction detected.,10,6,True,True,413.8197789891696,956.7559280432754,0.2981844905551142
TXN_DD53A091,2024-01-14 21:41:00,114.01,USD,CHANNEL_002,Mobile App,CARD,2024-01-15,2024-01-15,MATCHED,2.8,REF_570405,0,False,,,21,6,True,False,289.71385321100917,220.87662228085722,0.7954841548943632
TXN_899E2A41,2024-01-14 22:19:00,190.02,GBP,CHANNEL_008,Contact Center,DIGITAL_WALLET,2024-01-16,2024-01-16,MATCHED,4.09,REF_251857,0,False,,,22,6,True,False,306.0762376237624,215.62196186312508,0.5382394104058558
TXN_7072CE01,2024-01-14 22:33:00,195.92,EUR,CHANNEL_003,Staff Travel,AMOP,2024-01-17,2024-01-17,MATCHED,3.73,REF_713886,0,False,,,22,6,True,False,495.366892976174,1638.3171994323789,0.18277711610420874
TXN_5C0FFBD2,2024-01-15 15:34:00,106.1,GBP,CHANNEL_006,FLY,DIGITAL_WALLET,2024-01-17,2024-01-17,MATCHED,1.73,REF_391224,0,False,,,15,0,False,True,371.08757800219786,994.9815597278657,0.26632410963945286
TXN_0FCDA50C,2024-01-15 16:50:00,238.54,USD,CHANNEL_003,Staff Travel,CARD,2024-01-17,2024-01-17,MATCHED,5.77,REF_696296,0,False,,,16,0,False,True,495.366892976174,1638.3171994323789,0.1567626178039001
TXN_61B74D7F,2024-01-15 20:00:00,111.84,USD,CHANNEL_003,Staff Travel,CARD,2024-01-18,2024-01-18,MATCHED,3.01,REF_999636,0,False,,,20,0,False,False,495.366892976174,1638.3171994323789,0.234098069109604
TXN_F413D0DD,2024-01-15 20:45:00,564.87,USD,CHANNEL_009,ANDC,AMOP,2024-01-18,2024-01-18,MATCHED,10.19,REF_856601,0,False,,,20,0,False,False,585.2624009644618,1888.243275053581,0.010799668259844922
TXN_40907254,2024-01-16 01:24:00,79.68,GBP,CHANNEL_006,FLY,DIGITAL_WALLET,2024-01-17,2024-01-17,MATCHED,2.04,REF_416115,0,False,,,1,1,False,False,371.08757800219786,994.9815597278657,0.2928773655683627
TXN_8BB20D21,2024-01-16 08:52:00,153.22,USD,CHANNEL_005,NDC,CARD,2024-01-17,2024-01-17,MATCHED,1.74,REF_615959,0,False,,,8,1,False,False,241.44414893617022,171.1966887643904,0.5153379400789042
TXN_3A5FEF16,2024-01-16 13:42:00,111.11,USD,CHANNEL_003,Staff Travel,CARD,2024-01-18,2024-01-18,MATCHED,1.69,REF_972310,0,False,,,13,1,False,True,495.366892976174,1638.3171994323789,0.2345436482686661
TXN_BE44E146,2024-01-16 15:54:00,706.49,EUR,CHANNEL_007,Airlines Holidays,AMOP,2024-01-19,2024-01-19,MATCHED,8.59,REF_184714,0,False,,,15,1,False,True,289.37843749999996,201.46105413533996,2.070432740909753
TXN_AD8F81B1,2024-01-16 16:01:00,178.98,USD,CHANNEL_007,Airlines Holidays,DIGITAL_WALLET,2024-01-18,2024-01-18,MATCHED,3.77,REF_596330,0,False,,,16,1,False,True,289.37843749999996,201.46105413533996,0.5479889796756209
TXN_CCA1F3C5,2024-01-16 23:11:00,431.36,USD,CHANNEL_004,New .com,AMOP,2024-01-19,2024-01-19,MATCHED,8.12,REF_183686,0,False,,,23,1,False,False,413.8197789891696,956.7559280432754,0.018333015241100276
TXN_78A1CB35,2024-01-17 03:53:00,108.89,EUR,CHANNEL_008,Contact Center,DIGITAL_WALLET,2024-01-20,2024-01-20,MATCHED,1.12,REF_405420,0,False,,,3,2,False,False,306.0762376237624,215.62196186312508,0.9144997843444838
TXN_2B3555E1,2024-01-17 11:12:00,159.23,EUR,CHANNEL_006,FLY,CARD,2024-01-19,2024-01-19,MATCHED,4.28,REF_860427,0,False,,,11,2,False,True,371.08757800219786,994.9815597278657,0.2129261350935412
TXN_12AF9002,2024-01-17 11:26:00,186.84,EUR,CHANNEL_010,PBL,DIGITAL_WALLET,2024-01-19,2024-01-19,MATCHED,4.63,REF_772528,0,False,,,11,2,False,True,385.4075653356448,1550.0644555145593,0.128102779616173
TXN_9A948C4E,2024-01-17 15:01:00,197.52,GBP,CHANNEL_007,Airlines Holidays,DIGITAL_WALLET,2024-01-18,2024-01-18,UNMATCHED,5.58,REF_807890,0,False,,,15,2,False,True,289.37843749999996,201.46105413533996,0.45596126702628176
TXN_24DEDB3C,2024-01-17 18:08:00,250.26,USD,CHANNEL_002,Mobile App,CARD,2024-01-18,2024-01-18,MATCHED,7.18,REF_387653,0,False,,,18,2,False,False,289.71385321100917,220.87662228085722,0.1786239431026854
TXN_61E4C154,2024-01-17 18:48:00,159.05,GBP,CHANNEL_007,Airlines Holidays,CARD,2024-01-19,2024-01-19,MATCHED,2.89,REF_844747,0,False,,,18,2,False,False,289.37843749999996,201.46105413533996,0.646916288904387
TXN_634AD2F2,2024-01-17 20:52:00,152.28,USD,CHANNEL_008,Contact Center,DIGITAL_WALLET,2024-01-18,2024-01-18,MATCHED,3.5,REF_419149,0,False,,,20,2,False,False,306.0762376237624,215.62196186312508,0.7132679634989634
TXN_34D5DD38,2024-01-18 00:26:00,120.62,GBP,CHANNEL_002,Mobile App,DIGITAL_WALLET,2024-01-20,2024-01-20,MATCHED,2.86,REF_302458,0,False,,,0,3,False,False,289.71385321100917,220.87662228085722,0.7655579457204696
TXN_A01EFF6D,2024-01-18 06:03:00,157.15,GBP,CHANNEL_003,Staff Travel,CARD,2024-01-21,2024-01-21,MATCHED,1.86,REF_314300,0,False,,,6,3,False,False,495.366892976174,1638.3171994323789,0.2064416421272722
TXN_927080F7,2024-01-18 16:34:00,126.45,EUR,CHANNEL_009,ANDC,DIGITAL_WALLET,2024-01-20,2024-01-24,UNMATCHED,1.32,REF_365971,4,False,,,16,3,False,True,585.2624009644618,1888.243275053581,0.2429837336248119
TXN_13762291,2024-01-18 17:14:00,798.15,EUR,CHANNEL_001,Airlines.com,AMOP,2024-01-20,2024-01-20,MATCHED,21.04,REF_476353,0,False,,,17,3,False,True,529.5399166114732,1898.670997744395,0.14147268468714866
TXN_65A64225,2024-01-18 18:50:00,165.96,GBP,CHANNEL_004,New .com,DIGITAL_WALLET,2024-01-20,2024-01-20,MATCHED,3.78,REF_751009,0,False,,,18,3,False,False,413.8197789891696,956.7559280432754,0.2590627052565893
TXN_1D0F817B,2024-01-19 00:37:00,233.45,USD,CHANNEL_002,Mobile App,CARD,2024-01-20,2024-01-20,MATCHED,3.34,REF_400404,0,False,,,0,4,False,False,289.71385321100917,220.87662228085722,0.25472977914098344
TXN_C31CC1AC,2024-01-19 01:10:00,105.52,EUR,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-21,2024-01-21,MATCHED,2.79,REF_418862,0,False,,,1,4,False,False,241.44414893617022,171.1966887643904,0.7939648244203834
TXN_DB573C1E,2024-01-19 09:34:00,488.85,EUR,CHANNEL_008,Contact Center,AMOP,2024-01-22,2024-01-22,MATCHED,8.93,REF_605806,0,False,,,9,4,False,True,306.0762376237624,215.62196186312508,0.8476583776390125
TXN_8458F728,2024-01-19 09:39:00,117.54,USD,CHANNEL_006,FLY,DIGITAL_WALLET,2024-01-20,2024-01-20,MATCHED,1.29,REF_211072,0,False,,,9,4,False,True,371.08757800219786,994.9815597278657,0.2548264091161095
TXN_5FC09F75,2024-01-19 14:26:00,128.97,EUR,CHANNEL_010,PBL,CARD,2024-01-21,2024-01-21,MATCHED,3.09,REF_821024,0,False,,,14,4,False,True,385.4075653356448,1550.0644555145593,0.16543671098536206
TXN_A2FADCF2,2024-01-19 14:29:00,394.85,GBP,CHANNEL_009,ANDC,AMOP,2024-01-22,2024-01-22,MATCHED,10.88,REF_235300,0,False,,,14,4,False,True,585.2624009644618,1888.243275053581,0.10084103223354977
