transaction_id,message_type,timestamp,settlement_date,channel_id,card_scheme,currency,amount,interchange_fee,scheme_fee,acquirer_fee,net_settlement,batch_id,settlement_status,processing_time_ms,auth_code,reference_number,hour_of_day,day_of_week,fee_rate,is_anomaly,anomaly_type,
TXN_20250711_000010,DART_312,7/11/2025 12:28,7/11/2025,BA_ECOM_002,AMEX,EUR,2520.66,63.02,15.12,12.6,2429.92,BATCH_20250711_12,COMPLETED,917,AUTH_479580,REF_4679591,12,4,0.036,FALSE,,
TXN_20250711_000011,DART_312,7/11/2025 4:05,7/11/2025,BA_ECOM_001,VISA,GBP,282.57,4.24,1.13,1.41,275.79,BATCH_20250711_04,COMPLETED,1493,AUTH_542666,REF_2065818,4,4,0.024,FALSE,,
TXN_20250703_000012,DART_312,7/3/2025 7:58,7/3/2025,BA_KIOSK_001,AMEX,EUR,246.65,6.17,1.48,1.23,237.77,BATCH_20250703_04,COMPLETED,1576,AUTH_220116,REF_5476583,7,3,0.036,FALSE,,
TXN_20250621_000013,DART_312,6/21/2025 0:15,6/21/2025,BA_ECOM_001,AMEX,USD,163.32,4.08,0.98,0.82,157.44,BATCH_20250621_00,COMPLETED,1578,AUTH_854639,REF_5418934,0,5,0.036,FALSE,,
TXN_20250629_000014,DART_312,6/29/2025 15:04,6/29/2025,BA_ECOM_001,AMEX,EUR,808.52,20.21,4.85,4.04,779.42,BATCH_20250629_12,COMPLETED,865,AUTH_899550,REF_3710343,15,6,0.036,FALSE,,
TXN_20250628_000015,DART_312,6/28/2025 3:38,6/28/2025,BA_ECOM_001,AMEX,USD,359.24,8.98,2.16,1.8,346.3,BATCH_20250628_00,COMPLETED,1899,AUTH_972064,REF_6159230,3,5,0.036,FALSE,,
TXN_20250708_000016,DART_312,7/8/2025 19:21,7/8/2025,BA_CALLCENTER_001,VISA,GBP,3318.99,49.78,13.28,16.59,3239.34,BATCH_20250708_16,COMPLETED,1657,AUTH_658582,REF_3109911,19,1,0.024,FALSE,,
TXN_20250710_000017,DART_312,7/10/2025 23:06,7/10/2025,BA_CALLCENTER_001,MASTERCARD,USD,2105.55,29.48,7.37,10.53,2058.17,BATCH_20250710_20,COMPLETED,533,AUTH_665492,REF_4374754,23,3,0.0225,FALSE,,
TXN_20250623_000018,DART_312,6/23/2025 11:11,6/23/2025,BA_PARTNER_001,AMEX,USD,1348.63,33.72,8.09,6.74,1300.08,BATCH_20250623_08,COMPLETED,607,AUTH_335612,REF_2074176,11,0,0.036,FALSE,,
TXN_20250705_000019,DART_312,7/5/2025 19:59,7/5/2025,BA_CALLCENTER_001,MASTERCARD,EUR,549.09,7.69,1.92,2.75,536.73,BATCH_20250705_16,COMPLETED,1392,AUTH_161733,REF_4841005,19,5,0.0225,FALSE,,
TXN_20250713_000020,DART_312,7/13/2025 18:41,7/13/2025,BA_MOBILE_001,VISA,EUR,366.24,5.49,1.46,1.83,357.46,BATCH_20250713_16,COMPLETED,538,AUTH_665427,REF_3219824,18,6,0.024,FALSE,,
TXN_20250622_000021,DART_312,6/22/2025 2:00,6/22/2025,BA_KIOSK_001,MASTERCARD,USD,279.4,3.91,0.98,1.4,273.11,BATCH_20250622_00,COMPLETED,298,AUTH_790993,REF_8231838,2,6,0.0225,FALSE,,
TXN_20250704_000022,DART_312,7/4/2025 7:10,7/4/2025,BA_KIOSK_001,VISA,EUR,328.63,4.93,1.31,1.64,320.75,BATCH_20250704_04,COMPLETED,224,AUTH_522179,REF_6692553,7,4,0.024,FALSE,,
TXN_20250620_000023,DART_312,6/20/2025 17:21,6/20/2025,BA_ECOM_002,MASTERCARD,EUR,1131.92,15.85,3.96,5.66,1106.45,BATCH_20250620_16,COMPLETED,670,AUTH_585100,REF_5191056,17,4,0.0225,FALSE,,
TXN_20250618_000024,DART_312,6/18/2025 18:08,6/18/2025,BA_PARTNER_002,VISA,GBP,1132.61,16.99,4.53,5.66,1105.43,BATCH_20250618_16,COMPLETED,130,AUTH_197793,REF_4965789,18,2,0.024,FALSE,,
TXN_20250710_000025,DART_312,7/10/2025 7:05,7/10/2025,BA_KIOSK_001,MASTERCARD,USD,302.26,4.23,1.06,1.51,295.46,BATCH_20250710_04,COMPLETED,104,AUTH_509386,REF_5449368,7,3,0.0225,FALSE,,
TXN_20250616_000026,DART_312,6/16/2025 6:18,6/16/2025,BA_KIOSK_001,DISCOVER,GBP,84.1,1.35,0.34,0.42,81.99,BATCH_20250616_04,COMPLETED,219,AUTH_707314,REF_2022698,6,0,0.0251,FALSE,,
TXN_20250622_000027,DART_312,6/22/2025 10:33,6/22/2025,BA_ECOM_001,DISCOVER,EUR,2535.44,40.57,10.14,12.68,2472.05,BATCH_20250622_08,COMPLETED,216,AUTH_632496,REF_2344047,10,6,0.025,FALSE,,
TXN_20250618_000028,DART_312,6/18/2025 15:32,6/18/2025,BA_CALLCENTER_001,VISA,EUR,2603.13,39.05,10.41,13.02,2540.65,BATCH_20250618_12,COMPLETED,1923,AUTH_697347,REF_5130808,15,2,0.024,FALSE,,
TXN_20250627_000029,DART_312,6/27/2025 1:34,6/27/2025,BA_CALLCENTER_001,VISA,USD,2435.78,36.54,9.74,12.18,2377.32,BATCH_20250627_00,COMPLETED,747,AUTH_373432,REF_4426900,1,4,0.024,FALSE,,
TXN_20250623_000030,DART_312,6/23/2025 22:16,6/23/2025,BA_ECOM_002,AMEX,USD,598.68,14.97,3.59,2.99,577.13,BATCH_20250623_20,COMPLETED,1036,AUTH_431535,REF_2217071,22,0,0.036,FALSE,,
TXN_20250715_000031,DART_312,7/15/2025 5:57,7/15/2025,BA_CALLCENTER_001,VISA,GBP,1938.46,29.08,7.75,9.69,1891.94,BATCH_20250715_04,COMPLETED,371,AUTH_465962,REF_2154126,5,1,0.024,FALSE,,
TXN_20250617_000032,DART_312,6/17/2025 13:13,6/17/2025,BA_MOBILE_001,MASTERCARD,USD,1110.37,15.55,3.89,5.55,1085.38,BATCH_20250617_12,COMPLETED,1352,AUTH_946305,REF_9874152,13,1,0.0225,FALSE,,
TXN_20250714_000033,DART_312,7/14/2025 22:44,7/14/2025,BA_CALLCENTER_001,AMEX,EUR,886.07,22.15,5.32,4.43,854.17,BATCH_20250714_20,COMPLETED,641,AUTH_221035,REF_2795765,22,0,0.036,FALSE,,
TXN_20250622_000034,DART_312,6/22/2025 3:27,6/22/2025,BA_MOBILE_001,AMEX,EUR,251.95,6.3,1.51,1.26,242.88,BATCH_20250622_00,COMPLETED,1507,AUTH_765046,REF_5428914,3,6,0.036,FALSE,,
TXN_20250629_000035,DART_312,6/29/2025 5:20,6/29/2025,BA_PARTNER_002,VISA,GBP,1437.04,21.56,5.75,7.19,1402.54,BATCH_20250629_04,COMPLETED,190,AUTH_103717,REF_6596150,5,6,0.024,FALSE,,
TXN_20250621_000036,DART_312,6/21/2025 15:56,6/21/2025,BA_MOBILE_001,MASTERCARD,EUR,628.05,8.79,2.2,3.14,613.92,BATCH_20250621_12,COMPLETED,1248,AUTH_110139,REF_2876932,15,5,0.0225,FALSE,,
TXN_20250712_000037,DART_312,7/12/2025 21:39,7/12/2025,BA_ECOM_002,VISA,USD,796.71,11.95,3.19,3.98,777.59,BATCH_20250712_20,COMPLETED,361,AUTH_143860,REF_6171716,21,5,0.024,FALSE,,
TXN_20250704_000038,DART_312,7/4/2025 18:39,7/4/2025,BA_MOBILE_001,MASTERCARD,EUR,218.97,3.07,0.77,1.09,214.04,BATCH_20250704_16,COMPLETED,1697,AUTH_687080,REF_7817881,18,4,0.0225,FALSE,,
TXN_20250625_000039,DART_312,6/25/2025 21:27,6/25/2025,BA_ECOM_002,MASTERCARD,GBP,749.65,10.5,2.62,3.75,732.78,BATCH_20250625_20,COMPLETED,1608,AUTH_448321,REF_7907400,21,2,0.0225,FALSE,,
TXN_20250619_000040,DART_312,6/19/2025 22:41,6/19/2025,BA_PARTNER_001,MASTERCARD,USD,501.68,7.02,1.76,2.51,490.39,BATCH_20250619_20,COMPLETED,883,AUTH_140605,REF_8896868,22,3,0.0225,FALSE,,
TXN_20250708_000041,DART_312,7/8/2025 13:44,7/8/2025,BA_KIOSK_001,AMEX,USD,464.8,11.62,2.79,2.32,448.07,BATCH_20250708_12,COMPLETED,556,AUTH_124813,REF_4240180,13,1,0.036,FALSE,,
TXN_20250703_000042,DART_312,7/3/2025 10:19,7/3/2025,BA_PARTNER_002,VISA,USD,681.14,10.22,2.72,3.41,664.79,BATCH_20250703_08,COMPLETED,1491,AUTH_984642,REF_9996207,10,3,0.024,FALSE,,
TXN_20250705_000043,DART_312,7/5/2025 20:29,7/5/2025,BA_MOBILE_001,MASTERCARD,EUR,863.42,12.09,3.02,4.32,843.99,BATCH_20250705_20,COMPLETED,322,AUTH_725550,REF_8290770,20,5,0.0225,FALSE,,
TXN_20250703_000044,DART_312,7/3/2025 20:46,7/3/2025,BA_MOBILE_001,DISCOVER,EUR,739.92,11.84,2.96,3.7,721.42,BATCH_20250703_20,COMPLETED,1942,AUTH_704596,REF_4188992,20,3,0.025,FALSE,,
TXN_20250707_000045,DART_312,7/7/2025 18:51,7/7/2025,BA_KIOSK_001,VISA,EUR,420.75,6.31,1.68,2.1,410.66,BATCH_20250707_16,COMPLETED,1573,AUTH_877991,REF_4305700,18,0,0.024,FALSE,,
TXN_20250704_000046,DART_312,7/4/2025 7:32,7/4/2025,BA_PARTNER_001,AMEX,EUR,857.17,21.43,5.14,4.29,826.31,BATCH_20250704_04,COMPLETED,1574,AUTH_414910,REF_9508103,7,4,0.036,FALSE,,
TXN_20250705_000047,DART_312,7/5/2025 23:10,7/5/2025,BA_MOBILE_001,DISCOVER,EUR,258.9,4.14,1.04,1.29,252.43,BATCH_20250705_20,COMPLETED,961,AUTH_797229,REF_7361002,23,5,0.025,FALSE,,
TXN_20250623_000048,DART_312,6/23/2025 20:39,6/23/2025,BA_ECOM_002,AMEX,USD,434.44,10.86,2.61,2.17,418.8,BATCH_20250623_20,COMPLETED,687,AUTH_320392,REF_8212326,20,0,0.036,FALSE,,
TXN_20250620_000049,DART_312,6/20/2025 1:58,6/20/2025,BA_PARTNER_001,AMEX,USD,948.98,23.72,5.69,4.74,914.83,BATCH_20250620_00,COMPLETED,1146,AUTH_596171,REF_3846949,1,4,0.036,FALSE,,
TXN_20250624_000050,DART_312,6/24/2025 18:18,6/24/2025,BA_CALLCENTER_001,AMEX,GBP,3475.05,86.88,20.85,17.38,3349.94,BATCH_20250624_16,COMPLETED,1477,AUTH_425498,REF_4768844,18,1,0.036,FALSE,,
TXN_20250620_000051,DART_312,6/20/2025 14:27,6/20/2025,BA_ECOM_001,VISA,GBP,2996.66,44.95,11.99,14.98,2924.74,BATCH_20250620_12,COMPLETED,1673,AUTH_176365,REF_8640615,14,4,0.024,FALSE,,
TXN_20250702_000052,DART_312,7/2/2025 0:00,7/2/2025,BA_ECOM_002,DISCOVER,USD,573.07,9.17,2.29,2.87,558.74,BATCH_20250702_00,COMPLETED,1508,AUTH_105814,REF_2788238,0,2,0.025,FALSE,,
TXN_20250621_000053,DART_312,6/21/2025 7:22,6/21/2025,BA_ECOM_002,DISCOVER,GBP,2459.46,39.35,9.84,12.3,2397.97,BATCH_20250621_04,COMPLETED,348,AUTH_578634,REF_3237058,7,5,0.025,FALSE,,
TXN_20250620_000054,DART_312,6/20/2025 5:54,6/20/2025,BA_CALLCENTER_001,AMEX,USD,2635.21,65.88,15.81,13.18,2540.34,BATCH_20250620_04,COMPLETED,1133,AUTH_547470,REF_8481188,5,4,0.036,FALSE,,
TXN_20250617_000055,DART_312,6/17/2025 14:49,6/17/2025,BA_PARTNER_002,DISCOVER,USD,399.41,6.39,1.6,2,389.42,BATCH_20250617_12,COMPLETED,1405,AUTH_390782,REF_9745959,14,1,0.025,FALSE,,
TXN_20250630_000056,DART_312,6/30/2025 0:21,6/30/2025,BA_MOBILE_001,DISCOVER,GBP,632.79,10.12,2.53,3.16,616.98,BATCH_20250630_00,COMPLETED,787,AUTH_435239,REF_2351868,0,0,0.025,FALSE,,
TXN_20250711_000057,DART_312,7/11/2025 16:22,7/11/2025,BA_KIOSK_001,MASTERCARD,EUR,108.59,1.52,0.38,0.54,106.15,BATCH_20250711_16,COMPLETED,777,AUTH_668969,REF_8816912,16,4,0.0225,FALSE,,
TXN_20250702_000058,DART_312,7/2/2025 19:23,7/2/2025,BA_PARTNER_002,DISCOVER,USD,1559.6,24.95,6.24,7.8,1520.61,BATCH_20250702_16,COMPLETED,1524,AUTH_120480,REF_7381734,19,2,0.025,FALSE,,
TXN_20250630_000059,DART_312,6/30/2025 20:14,6/30/2025,BA_MOBILE_001,DISCOVER,USD,762.87,12.21,3.05,3.81,743.8,BATCH_20250630_20,COMPLETED,1738,AUTH_732556,REF_4700025,20,0,0.025,FALSE,,
TXN_20250630_000060,DART_312,6/30/2025 13:19,6/30/2025,BA_KIOSK_001,DISCOVER,GBP,4997.288464,3.38,0.84,1.05,205.71,BATCH_20250630_12,COMPLETED,1734,AUTH_523956,REF_3768991,13,0,0.0011,TRUE,high_amount,
TXN_20250619_000061,DART_312,6/19/2025 5:38,6/19/2025,BA_ECOM_002,VISA,USD,2003.56,30.05,8.01,10.02,1955.48,BATCH_20250619_04,COMPLETED,271,AUTH_773971,REF_8190929,5,3,0.024,FALSE,,
TXN_20250711_000062,DART_312,7/11/2025 6:25,7/11/2025,BA_ECOM_001,AMEX,USD,913.79,22.84,5.48,4.57,880.9,BATCH_20250711_04,COMPLETED,791,AUTH_898207,REF_7360682,6,4,0.036,FALSE,,
TXN_20250707_000063,DART_312,7/7/2025 7:20,7/7/2025,BA_PARTNER_002,VISA,USD,230.86,3.46,0.92,1.15,225.33,BATCH_20250707_04,COMPLETED,816,AUTH_335113,REF_2151225,7,0,0.024,FALSE,,
TXN_20250621_000064,DART_312,6/21/2025 0:34,6/21/2025,BA_PARTNER_002,VISA,GBP,225.85,3.39,0.9,1.13,220.43,BATCH_20250621_00,COMPLETED,412,AUTH_350132,REF_3117636,0,5,0.024,FALSE,,
TXN_20250629_000065,DART_312,6/29/2025 23:29,6/29/2025,BA_CALLCENTER_001,MASTERCARD,USD,3069.42,42.97,10.74,15.35,3000.36,BATCH_20250629_20,COMPLETED,443,AUTH_735324,REF_2921542,23,6,0.0225,FALSE,,
TXN_20250621_000066,DART_312,6/21/2025 15:17,6/21/2025,BA_ECOM_001,VISA,USD,2510,37.65,10.04,12.55,2449.76,BATCH_20250621_12,COMPLETED,868,AUTH_515922,REF_4327421,15,5,0.024,FALSE,,
TXN_20250713_000067,DART_312,7/13/2025 1:52,7/13/2025,BA_PARTNER_002,MASTERCARD,GBP,901.65,12.62,3.16,4.51,881.36,BATCH_20250713_00,COMPLETED,1501,AUTH_729577,REF_3030966,1,6,0.0225,FALSE,,
TXN_20250620_000068,DART_312,6/20/2025 1:46,6/20/2025,BA_ECOM_001,AMEX,EUR,998.11,24.95,5.99,4.99,962.18,BATCH_20250620_00,COMPLETED,1136,AUTH_778998,REF_6724909,1,4,0.036,FALSE,,
TXN_20250715_000069,DART_312,7/15/2025 6:44,7/15/2025,BA_KIOSK_001,VISA,USD,465.62,6.98,1.86,2.33,454.45,BATCH_20250715_04,COMPLETED,1797,AUTH_582071,REF_3566765,6,1,0.024,FALSE,,
TXN_20250702_000070,DART_312,7/2/2025 14:50,7/2/2025,BA_CALLCENTER_001,AMEX,EUR,2837.74,70.94,17.03,14.19,2735.58,BATCH_20250702_12,COMPLETED,1090,AUTH_587455,REF_8307727,14,2,0.036,FALSE,,
TXN_20250618_000071,DART_312,6/18/2025 20:59,6/18/2025,BA_MOBILE_001,AMEX,GBP,608.43,15.21,3.65,3.04,586.53,BATCH_20250618_20,COMPLETED,1905,AUTH_572700,REF_5091349,20,2,0.036,FALSE,,
TXN_20250621_000072,DART_312,6/21/2025 6:00,6/21/2025,BA_CALLCENTER_001,DISCOVER,USD,565.38,9.05,2.26,2.83,551.24,BATCH_20250621_04,COMPLETED,472,AUTH_611233,REF_4558780,6,5,0.025,FALSE,,
TXN_20250704_000073,DART_312,7/4/2025 12:15,7/4/2025,BA_MOBILE_001,AMEX,EUR,111.64,2.79,0.67,0.56,107.62,BATCH_20250704_12,COMPLETED,275,AUTH_353080,REF_7818732,12,4,0.036,FALSE,,
TXN_20250630_000074,DART_312,6/30/2025 2:48,6/30/2025,BA_ECOM_002,DISCOVER,EUR,1776.94,28.43,7.11,8.88,1732.52,BATCH_20250630_00,COMPLETED,135,AUTH_197573,REF_5936453,2,0,0.025,FALSE,,
TXN_20250708_000075,DART_312,7/8/2025 7:52,7/8/2025,BA_ECOM_002,AMEX,EUR,1538.7,38.47,9.23,7.69,1483.31,BATCH_20250708_04,COMPLETED,1187,AUTH_460455,REF_8138769,7,1,0.036,FALSE,,
TXN_20250622_000076,DART_312,6/22/2025 3:15,6/22/2025,BA_MOBILE_001,DISCOVER,USD,301.43,4.82,1.21,1.51,293.89,BATCH_20250622_00,COMPLETED,1577,AUTH_301939,REF_6294016,3,6,0.025,FALSE,,
TXN_20250711_000077,DART_312,7/11/2025 21:02,7/11/2025,BA_PARTNER_002,MASTERCARD,GBP,482.02,6.75,1.69,2.41,471.17,BATCH_20250711_20,COMPLETED,1583,AUTH_718226,REF_9801946,21,4,0.0225,FALSE,,
TXN_20250626_000078,DART_312,6/26/2025 11:30,6/26/2025,BA_PARTNER_002,MASTERCARD,USD,331,4.63,1.16,1.66,323.55,BATCH_20250626_08,COMPLETED,128,AUTH_842411,REF_9961299,11,3,0.0225,FALSE,,
TXN_20250711_000079,DART_312,7/11/2025 12:34,7/11/2025,BA_ECOM_001,AMEX,EUR,2978.05,74.45,17.87,14.89,2870.84,BATCH_20250711_12,COMPLETED,1641,AUTH_614723,REF_2721135,12,4,0.036,FALSE,,
TXN_20250618_000080,DART_312,6/18/2025 20:00,6/18/2025,BA_MOBILE_001,DISCOVER,USD,388.43,6.21,1.55,1.94,378.73,BATCH_20250618_20,COMPLETED,205,AUTH_364742,REF_9014965,20,2,0.025,FALSE,,
TXN_20250712_000081,DART_312,7/12/2025 18:11,7/12/2025,BA_KIOSK_001,VISA,EUR,193.92,2.91,0.78,0.97,189.26,BATCH_20250712_16,COMPLETED,405,AUTH_950544,REF_6097514,18,5,0.024,FALSE,,
TXN_20250713_000082,DART_312,7/13/2025 13:29,7/13/2025,BA_CALLCENTER_001,DISCOVER,EUR,2356.77,37.71,9.43,11.78,2297.85,BATCH_20250713_12,COMPLETED,1688,AUTH_647957,REF_7381684,13,6,0.025,FALSE,,
TXN_20250701_000083,DART_312,7/1/2025 6:17,7/1/2025,BA_PARTNER_002,DISCOVER,USD,511.23,8.18,2.04,2.56,498.45,BATCH_20250701_04,COMPLETED,1615,AUTH_204053,REF_4486102,6,1,0.025,FALSE,,
TXN_20250625_000084,DART_312,6/25/2025 14:20,6/25/2025,BA_PARTNER_001,VISA,GBP,551.67,8.28,2.21,2.76,538.42,BATCH_20250625_12,COMPLETED,420,AUTH_102805,REF_7853787,14,2,0.024,FALSE,,
TXN_20250630_000085,DART_312,6/30/2025 21:58,6/30/2025,BA_KIOSK_001,AMEX,GBP,141.49,3.54,0.85,0.71,136.39,BATCH_20250630_20,COMPLETED,1539,AUTH_576086,REF_2194198,21,0,0.036,FALSE,,
TXN_20250624_000086,DART_312,6/24/2025 12:37,6/24/2025,BA_MOBILE_001,MASTERCARD,USD,145.58,2.04,0.51,0.73,142.3,BATCH_20250624_12,COMPLETED,405,AUTH_378535,REF_3386328,12,1,0.0225,FALSE,,
TXN_20250713_000087,DART_312,7/13/2025 19:26,7/13/2025,BA_PARTNER_002,AMEX,EUR,1308.06,32.7,7.85,6.54,1260.97,BATCH_20250713_16,COMPLETED,691,AUTH_560485,REF_3086308,19,6,0.036,FALSE,,
TXN_20250630_000088,DART_312,6/30/2025 22:17,6/30/2025,BA_PARTNER_001,DISCOVER,USD,872.28,13.96,3.49,4.36,850.47,BATCH_20250630_20,COMPLETED,264,AUTH_727086,REF_1668752,22,0,0.025,FALSE,,
TXN_20250617_000089,DART_312,6/17/2025 6:49,6/17/2025,BA_MOBILE_001,AMEX,GBP,231.57,5.79,1.39,1.16,223.23,BATCH_20250617_04,COMPLETED,1812,AUTH_703139,REF_1348050,6,1,0.036,FALSE,,
TXN_20250620_000090,DART_312,6/20/2025 22:44,6/20/2025,BA_MOBILE_001,VISA,GBP,637.27,9.56,2.55,3.19,621.97,BATCH_20250620_20,COMPLETED,1976,AUTH_391668,REF_4044882,22,4,0.024,FALSE,,
TXN_20250627_000091,DART_312,6/27/2025 6:56,6/27/2025,BA_PARTNER_002,DISCOVER,GBP,753.99,12.06,3.02,3.77,735.14,BATCH_20250627_04,COMPLETED,757,AUTH_802685,REF_2754894,6,4,0.025,FALSE,,
TXN_20250618_000092,DART_312,6/18/2025 15:15,6/18/2025,BA_KIOSK_001,DISCOVER,USD,279.04,4.46,1.12,1.4,272.06,BATCH_20250618_12,COMPLETED,1657,AUTH_676818,REF_1615675,15,2,0.025,FALSE,,
TXN_20250701_000093,DART_312,7/1/2025 18:16,7/1/2025,BA_MOBILE_001,AMEX,GBP,999.27,24.98,6,5,963.29,BATCH_20250701_16,COMPLETED,1153,AUTH_964998,REF_1019311,18,1,0.036,FALSE,,
TXN_20250624_000094,DART_312,6/24/2025 3:07,6/24/2025,BA_KIOSK_001,VISA,GBP,262.88,3.94,1.05,1.31,256.58,BATCH_20250624_00,COMPLETED,1120,AUTH_755788,REF_8416216,3,1,0.024,FALSE,,
TXN_20250621_000095,DART_312,6/21/2025 19:23,6/21/2025,BA_MOBILE_001,MASTERCARD,USD,620.09,8.68,2.17,3.1,606.14,BATCH_20250621_16,COMPLETED,348,AUTH_130271,REF_5014745,19,5,0.0225,FALSE,,
TXN_20250623_000096,DART_312,6/23/2025 15:17,6/23/2025,BA_CALLCENTER_001,VISA,EUR,1104.43,16.57,4.42,5.52,1077.92,BATCH_20250623_12,COMPLETED,1823,AUTH_218972,REF_8741810,15,0,0.024,FALSE,,
TXN_20250615_000097,DART_312,6/15/2025 16:55,6/15/2025,BA_PARTNER_002,MASTERCARD,USD,1139,15.95,3.99,5.7,1113.36,BATCH_20250615_16,COMPLETED,1544,AUTH_386706,REF_7970771,16,6,0.0225,FALSE,,
TXN_20250619_000098,DART_312,6/19/2025 5:06,6/19/2025,BA_ECOM_002,DISCOVER,EUR,295.4,4.73,1.18,1.48,288.01,BATCH_20250619_04,COMPLETED,1327,AUTH_632929,REF_3290229,5,3,0.025,FALSE,,
TXN_20250618_000099,DART_312,6/18/2025 18:19,6/18/2025,BA_PARTNER_002,DISCOVER,USD,1482.5,23.72,5.93,7.41,1445.44,BATCH_20250618_16,COMPLETED,1780,AUTH_102689,REF_5745250,18,2,0.025,FALSE,,
TXN_20250622_000100,DART_312,6/22/2025 10:43,6/22/2025,BA_CALLCENTER_001,DISCOVER,GBP,1629.53,26.07,6.52,8.15,1588.79,BATCH_20250622_08,COMPLETED,780,AUTH_678727,REF_7328534,10,6,0.025,FALSE,,
TXN_20250701_000101,DART_312,7/1/2025 9:41,7/1/2025,BA_ECOM_002,MASTERCARD,EUR,1679.48,23.51,5.88,8.4,1641.69,BATCH_20250701_08,COMPLETED,941,AUTH_145767,REF_6338112,9,1,0.0225,FALSE,,
TXN_20250622_000102,DART_312,6/22/2025 4:51,6/22/2025,BA_PARTNER_002,DISCOVER,USD,2030.43,32.49,8.12,10.15,1979.67,BATCH_20250622_04,COMPLETED,1435,AUTH_259493,REF_9310235,4,6,0.025,FALSE,,
TXN_20250615_000103,DART_312,6/15/2025 19:28,6/15/2025,BA_CALLCENTER_001,AMEX,GBP,2746.37,68.66,16.48,13.73,2647.5,BATCH_20250615_16,COMPLETED,1177,AUTH_579123,REF_1257489,19,6,0.036,FALSE,,
TXN_20250622_000104,DART_312,6/22/2025 16:10,6/22/2025,BA_PARTNER_002,MASTERCARD,GBP,1258.21,17.61,4.4,6.29,1229.91,BATCH_20250622_16,COMPLETED,793,AUTH_753534,REF_7668663,16,6,0.0225,FALSE,,
TXN_20250625_000105,DART_312,6/25/2025 17:42,6/25/2025,BA_MOBILE_001,DISCOVER,USD,969.95,15.52,3.88,4.85,945.7,BATCH_20250625_16,COMPLETED,1099,AUTH_667296,REF_1602286,17,2,0.025,FALSE,,
TXN_20250626_000106,DART_312,6/26/2025 18:21,6/26/2025,BA_PARTNER_001,AMEX,GBP,1127.99,28.2,6.77,5.64,1087.38,BATCH_20250626_16,COMPLETED,301,AUTH_897305,REF_2686231,18,3,0.036,FALSE,,
TXN_20250701_000107,DART_312,7/1/2025 14:52,7/1/2025,BA_MOBILE_001,VISA,GBP,254.38,3.82,1.02,1.27,248.27,BATCH_20250701_12,COMPLETED,834,AUTH_493049,REF_8225725,14,1,0.024,FALSE,,
TXN_20250711_000108,DART_312,7/11/2025 13:03,7/11/2025,BA_KIOSK_001,MASTERCARD,GBP,107.66,1.51,0.38,0.54,105.23,BATCH_20250711_12,COMPLETED,883,AUTH_749813,REF_5040453,13,4,0.0226,FALSE,,
