transaction_id,message_type,timestamp,settlement_date,merchant_id,card_scheme,currency,amount,interchange_fee,scheme_fee,acquirer_fee,net_settlement,batch_id,settlement_status,processing_time_ms,auth_code,reference_number,hour_of_day,day_of_week,fee_rate,settlement_accuracy,is_anomaly,anomaly_type
TXN_20250614_000019,DART_312,2025-06-14 18:45:16.909272,2025-06-14,BA_PARTNER_001,AMEX,EUR,10.03,0.25,0.06,0.05,9.67,BATCH_20250614_16,COMPLETED,1660,AUTH_287330,REF_9517485,18,5,0.03589232303090728,1.0000000000000002,False,
TXN_20250616_000020,DART_312,2025-06-16 14:46:16.909283,2025-06-16,BA_PARTNER_001,AMEX,EUR,316.96,7.92,1.9,1.58,305.56,BATCH_20250616_12,COMPLETED,1139,AUTH_738551,REF_4337174,14,0,0.03596668349318526,1.0,False,
TXN_20250711_000021,DART_312,2025-07-11 06:53:16.909407,2025-07-11,BA_ECOM_002,VISA,EUR,118.42,1.78,0.47,0.59,115.58,BATCH_20250711_04,COMPLETED,763,AUTH_612340,REF_1326765,6,4,0.02398243539942577,1.0,False,
TXN_20250712_000022,DART_312,2025-07-12 06:45:16.909460,2025-07-12,BA_PARTNER_002,AMEX,GBP,59.21,1.48,0.36,0.3,57.07,BATCH_20250712_04,COMPLETED,218,AUTH_352572,REF_2321324,6,5,0.03614254348927545,0.9999999999999999,False,
TXN_20250712_000023,DART_312,2025-07-12 19:10:16.909478,2025-07-12,BA_PARTNER_002,VISA,EUR,10.0,0.15,0.04,0.05,9.76,BATCH_20250712_16,COMPLETED,1668,AUTH_231869,REF_3154051,19,5,0.024,1.0,False,
TXN_20250624_000024,DART_312,2025-06-24 03:06:16.909490,2025-06-24,BA_ECOM_002,AMEX,EUR,86.11,2.15,0.52,0.43,83.01,BATCH_20250624_00,COMPLETED,1886,AUTH_736059,REF_8099076,3,1,0.03600046452212287,1.0000000000000002,False,
TXN_20250615_000025,DART_312,2025-06-15 11:42:16.909503,2025-06-15,BA_CALLCENTER_001,MASTERCARD,EUR,62.37,0.87,0.22,0.31,60.97,BATCH_20250615_08,COMPLETED,738,AUTH_518373,REF_7264956,11,6,0.022446689113355782,1.0,False,
TXN_20250701_000026,DART_312,2025-07-01 02:13:16.909514,2025-07-01,BA_ECOM_001,MASTERCARD,GBP,46.95,0.66,0.16,0.23,45.9,BATCH_20250701_00,COMPLETED,231,AUTH_454508,REF_1352896,2,1,0.022364217252396165,0.9999999999999997,False,
TXN_20250627_000027,DART_312,2025-06-27 01:27:16.909532,2025-06-27,BA_CALLCENTER_001,MASTERCARD,GBP,85.7,1.2,0.3,0.43,83.77,BATCH_20250627_00,COMPLETED,245,AUTH_842225,REF_1987737,1,4,0.022520420070011666,1.0,False,
TXN_20250708_000028,DART_312,2025-07-08 15:44:16.909545,2025-07-08,BA_ECOM_001,AMEX,GBP,81.4,2.04,0.49,0.41,78.46,BATCH_20250708_12,COMPLETED,1152,AUTH_349565,REF_5672073,15,1,0.03611793611793612,0.9999999999999998,False,
TXN_20250624_000029,DART_312,2025-06-24 03:28:16.909558,2025-06-24,BA_CALLCENTER_001,MASTERCARD,EUR,38.47,0.54,0.13,0.19,37.61,BATCH_20250624_00,COMPLETED,1907,AUTH_698782,REF_8930103,3,1,0.022355081881985966,1.0,False,
TXN_20250708_000030,DART_312,2025-07-08 02:50:16.909569,2025-07-08,BA_KIOSK_001,MASTERCARD,GBP,26.52,0.37,0.09,0.13,25.93,BATCH_20250708_00,COMPLETED,298,AUTH_790993,REF_8231838,2,1,0.0222473604826546,1.0,False,
TXN_20250704_000031,DART_312,2025-07-04 05:15:16.909580,2025-07-04,BA_KIOSK_001,VISA,EUR,504.08,7.56,2.02,2.52,491.98,BATCH_20250704_04,COMPLETED,1438,AUTH_777568,REF_2651177,5,4,0.024004126329154104,1.0,False,
TXN_20250714_000032,DART_312,2025-07-14 05:55:16.909591,2025-07-14,BA_MOBILE_001,VISA,GBP,32.76,0.49,0.13,0.16,31.98,BATCH_20250714_04,COMPLETED,492,AUTH_299448,REF_9997381,5,0,0.02380952380952381,1.0000000000000002,False,
TXN_20250701_000033,DART_312,2025-07-01 14:14:16.909602,2025-07-01,BA_ECOM_002,AMEX,USD,51.54,1.29,0.31,0.26,49.68,BATCH_20250701_12,COMPLETED,611,AUTH_179046,REF_8434500,14,1,0.03608847497089639,1.0,False,
TXN_20250620_000034,DART_312,2025-06-20 01:35:16.909616,2025-06-20,BA_ECOM_001,VISA,GBP,337.83,5.07,1.35,1.69,329.72,BATCH_20250620_00,COMPLETED,1997,AUTH_890170,REF_4965789,1,4,0.024006156942841073,1.0000000000000002,False,
TXN_20250710_000035,DART_312,2025-07-10 05:10:16.909628,2025-07-10,BA_KIOSK_001,MASTERCARD,USD,12.62,0.18,0.04,0.06,12.34,BATCH_20250710_04,COMPLETED,1948,AUTH_161483,REF_3762152,5,3,0.022187004754358166,1.0,False,
TXN_20250703_000036,DART_312,2025-07-03 18:17:16.909639,2025-07-03,BA_MOBILE_001,DISCOVER,USD,39.14,0.63,0.16,0.2,38.15,BATCH_20250703_16,COMPLETED,966,AUTH_830429,REF_9164991,18,3,0.025293817066939193,1.0,False,
TXN_20250711_000037,DART_312,2025-07-11 12:23:16.909652,2025-07-11,BA_ECOM_002,VISA,EUR,20.91,0.31,0.08,0.1,20.42,BATCH_20250711_12,COMPLETED,1606,AUTH_668532,REF_2022698,12,4,0.0234337637494022,1.0,False,
TXN_20250622_000038,DART_312,2025-06-22 08:38:16.909663,2025-06-22,BA_ECOM_001,DISCOVER,EUR,39.32,0.63,0.16,0.2,38.33,BATCH_20250622_08,COMPLETED,1982,AUTH_994141,REF_9910817,8,6,0.025178026449643946,1.0,False,
TXN_20250710_000039,DART_312,2025-07-10 17:09:16.909675,2025-07-10,BA_ECOM_001,MASTERCARD,GBP,180.7,2.53,0.63,0.9,176.64,BATCH_20250710_16,COMPLETED,1318,AUTH_171262,REF_4946066,17,3,0.022468179302711676,1.0,False,
TXN_20250703_000040,DART_312,2025-07-03 14:45:16.909686,2025-07-03,BA_CALLCENTER_001,MASTERCARD,EUR,132.44,1.85,0.46,0.66,129.47,BATCH_20250703_12,COMPLETED,1317,AUTH_141672,REF_2375453,14,3,0.022425249169435217,1.0,False,
TXN_20250701_000041,DART_312,2025-07-01 21:04:16.909698,2025-07-01,BA_CALLCENTER_001,AMEX,USD,67.06,1.68,0.4,0.34,64.64,BATCH_20250701_20,COMPLETED,518,AUTH_802258,REF_6271130,21,1,0.03608708619147032,1.0000000000000002,False,
TXN_20250708_000042,DART_312,2025-07-08 10:16:16.909721,2025-07-08,BA_ECOM_002,AMEX,USD,132.2,3.3,0.79,0.66,127.45,BATCH_20250708_08,COMPLETED,747,AUTH_888387,REF_2217071,10,1,0.03593040847201211,1.0000000000000002,False,
TXN_20250715_000043,DART_312,2025-07-15 04:02:16.909735,2025-07-15,BA_CALLCENTER_001,VISA,GBP,38.04,0.57,0.15,0.19,37.13,BATCH_20250715_04,COMPLETED,1201,AUTH_323508,REF_9487336,4,1,0.023922187171398525,1.0,False,
TXN_20250707_000044,DART_312,2025-07-07 13:42:16.909746,2025-07-07,BA_MOBILE_001,VISA,GBP,10.15,0.15,0.04,0.05,9.91,BATCH_20250707_12,COMPLETED,856,AUTH_398830,REF_3646552,13,0,0.023645320197044333,1.0,False,
TXN_20250701_000045,DART_312,2025-07-01 00:56:16.909758,2025-07-01,BA_MOBILE_001,VISA,EUR,18.62,0.28,0.07,0.09,18.18,BATCH_20250701_00,COMPLETED,1773,AUTH_681542,REF_6022741,0,1,0.023630504833512353,1.0,False,
TXN_20250615_000046,DART_312,2025-06-15 21:35:16.909769,2025-06-15,BA_ECOM_002,AMEX,GBP,93.63,2.34,0.56,0.47,90.26,BATCH_20250615_20,COMPLETED,1922,AUTH_212235,REF_3607983,21,6,0.03599273737050091,1.0000000000000002,False,
TXN_20250707_000047,DART_312,2025-07-07 09:03:16.909782,2025-07-07,BA_ECOM_002,AMEX,GBP,427.14,10.68,2.56,2.14,411.76,BATCH_20250707_08,COMPLETED,1507,AUTH_765046,REF_5428914,9,0,0.036006929812239546,1.0,False,
TXN_20250629_000048,DART_312,2025-06-29 03:25:16.909794,2025-06-29,BA_PARTNER_002,VISA,GBP,82.46,1.24,0.33,0.41,80.48,BATCH_20250629_00,COMPLETED,1399,AUTH_544151,REF_5641923,3,6,0.024011642008246424,1.0,False,
TXN_20250714_000049,DART_312,2025-07-14 18:20:16.909805,2025-07-14,BA_PARTNER_002,MASTERCARD,EUR,10.0,0.14,0.04,0.05,9.77,BATCH_20250714_16,COMPLETED,636,AUTH_269430,REF_8412769,18,0,0.023000000000000003,1.0,False,
TXN_20250627_000050,DART_312,2025-06-27 20:14:16.909818,2025-06-27,BA_CALLCENTER_001,VISA,GBP,80.55,1.21,0.32,0.4,78.62,BATCH_20250627_20,COMPLETED,254,AUTH_824586,REF_3500715,20,4,0.023960273122284298,1.0,False,
TXN_20250628_000051,DART_312,2025-06-28 16:48:16.909829,2025-06-28,BA_MOBILE_001,MASTERCARD,USD,24.34,0.34,0.09,0.12,23.79,BATCH_20250628_16,COMPLETED,361,AUTH_143860,REF_6171716,16,5,0.022596548890714874,1.0,False,
TXN_20250704_000052,DART_312,2025-07-04 16:44:16.909841,2025-07-04,BA_MOBILE_001,MASTERCARD,EUR,19.27,0.27,0.07,0.1,18.83,BATCH_20250704_16,COMPLETED,611,AUTH_799330,REF_2724590,16,4,0.02283341982355994,1.0,False,
TXN_20250704_000053,DART_312,2025-07-04 00:45:16.909855,2025-07-04,BA_PARTNER_002,DISCOVER,EUR,113.75,1.82,0.46,0.57,110.9,BATCH_20250704_00,COMPLETED,1634,AUTH_262060,REF_4971793,0,4,0.025054945054945054,0.9999999999999999,False,
TXN_20250618_000054,DART_312,2025-06-18 12:50:16.909867,2025-06-18,BA_PARTNER_002,MASTERCARD,USD,188.14,2.63,0.66,0.94,183.91,BATCH_20250618_12,COMPLETED,150,AUTH_288073,REF_6573147,12,2,0.02248325714893165,1.0,False,
TXN_20250620_000055,DART_312,2025-06-20 04:50:16.909879,2025-06-20,BA_PARTNER_001,MASTERCARD,USD,166.92,2.34,0.58,0.83,163.17,BATCH_20250620_04,COMPLETED,426,AUTH_925622,REF_2813543,4,4,0.022465851905104244,1.0000000000000002,False,
TXN_20250703_000056,DART_312,2025-07-03 16:47:16.909890,2025-07-03,BA_KIOSK_001,MASTERCARD,GBP,19.94,0.28,0.07,0.1,19.49,BATCH_20250703_16,COMPLETED,1772,AUTH_582662,REF_6866294,16,3,0.022567703109327986,1.0,False,
TXN_20250706_000057,DART_312,2025-07-06 11:27:16.909903,2025-07-06,BA_ECOM_001,MASTERCARD,USD,108.94,1.53,0.38,0.54,106.49,BATCH_20250706_08,COMPLETED,772,AUTH_392136,REF_2164686,11,6,0.02248944373049385,1.0,False,
TXN_20250615_000058,DART_312,2025-06-15 10:19:16.909916,2025-06-15,BA_PARTNER_001,DISCOVER,EUR,81.25,1.3,0.33,0.41,79.21,BATCH_20250615_08,COMPLETED,1827,AUTH_662262,REF_6555772,10,6,0.025107692307692307,0.9999999999999998,False,
TXN_20250615_000059,DART_312,2025-06-15 18:34:16.909929,2025-06-15,BA_MOBILE_001,MASTERCARD,EUR,72.27,1.01,0.25,0.36,70.65,BATCH_20250615_16,COMPLETED,643,AUTH_140115,REF_2818692,18,6,0.022415940224159405,1.0000000000000002,False,
TXN_20250626_000060,DART_312,2025-06-26 05:19:16.909940,2025-06-26,BA_PARTNER_001,AMEX,USD,30.72,0.77,0.18,0.15,29.62,BATCH_20250626_04,COMPLETED,1341,AUTH_636265,REF_2940214,5,3,0.035807291666666664,1.0,False,
TXN_20250703_000061,DART_312,2025-07-03 00:29:16.909952,2025-07-03,BA_MOBILE_001,VISA,EUR,28.54,0.43,0.11,0.14,27.86,BATCH_20250703_00,COMPLETED,993,AUTH_101773,REF_9722815,0,3,0.023826208829712685,1.0,False,
TXN_20250616_000062,DART_312,2025-06-16 00:58:16.909965,2025-06-16,BA_PARTNER_001,MASTERCARD,USD,14.47,0.2,0.05,0.07,14.15,BATCH_20250616_00,COMPLETED,983,AUTH_173372,REF_6539837,0,0,0.0221147201105736,1.0,False,
TXN_20250626_000063,DART_312,2025-06-26 07:59:16.909977,2025-06-26,BA_PARTNER_002,VISA,EUR,12.99,0.19,0.05,0.06,12.69,BATCH_20250626_04,COMPLETED,1943,AUTH_414910,REF_9508103,7,3,0.023094688221709007,1.0,False,
TXN_20250705_000064,DART_312,2025-07-05 21:15:16.909988,2025-07-05,BA_MOBILE_001,DISCOVER,EUR,63.44,1.02,0.25,0.32,61.85,BATCH_20250705_20,COMPLETED,705,AUTH_681343,REF_3135534,21,5,0.025063051702395967,1.0000000000000002,False,
TXN_20250709_000065,DART_312,2025-07-09 04:59:16.910001,2025-07-09,BA_KIOSK_001,MASTERCARD,EUR,277.96,3.89,0.97,1.39,271.71,BATCH_20250709_04,COMPLETED,1265,AUTH_415568,REF_7812810,4,2,0.022485249676212408,1.0,False,
TXN_20250628_000066,DART_312,2025-06-28 18:22:16.910013,2025-06-28,BA_MOBILE_001,MASTERCARD,USD,31.26,0.44,0.11,0.16,30.55,BATCH_20250628_16,COMPLETED,1709,AUTH_708158,REF_6406444,18,5,0.02271273192578375,1.0,False,
TXN_20250701_000067,DART_312,2025-07-01 04:13:16.910027,2025-07-01,BA_PARTNER_001,MASTERCARD,EUR,182.04,2.55,0.64,0.91,177.94,BATCH_20250701_04,COMPLETED,1069,AUTH_932291,REF_3846949,4,1,0.02252252252252252,1.0,False,
TXN_20250624_000068,DART_312,2025-06-24 16:23:16.910038,2025-06-24,BA_CALLCENTER_001,AMEX,GBP,84.26,2.11,0.51,0.42,81.22,BATCH_20250624_16,COMPLETED,1776,AUTH_887625,REF_4940441,16,1,0.03607880370282459,1.0,False,
TXN_20250624_000069,DART_312,2025-06-24 09:27:16.910050,2025-06-24,BA_PARTNER_002,MASTERCARD,GBP,25.18,0.35,0.09,0.13,24.61,BATCH_20250624_08,COMPLETED,150,AUTH_148458,REF_5107776,9,1,0.022637013502779982,1.0,False,
TXN_20250629_000070,DART_312,2025-06-29 22:47:16.910061,2025-06-29,BA_PARTNER_002,VISA,USD,84.24,1.26,0.34,0.42,82.22,BATCH_20250629_20,COMPLETED,948,AUTH_760356,REF_4262081,22,6,0.023979107312440646,1.0000000000000002,False,
TXN_20250622_000071,DART_312,2025-06-22 20:17:16.910074,2025-06-22,BA_KIOSK_001,DISCOVER,GBP,345.73,5.53,1.38,1.73,337.09,BATCH_20250622_20,COMPLETED,402,AUTH_787926,REF_1093026,20,6,0.02499059960084459,0.9999999999999998,False,
TXN_20250617_000072,DART_312,2025-06-17 14:52:16.910087,2025-06-17,BA_KIOSK_001,MASTERCARD,GBP,52.3,0.73,0.18,0.26,51.13,BATCH_20250617_12,COMPLETED,1746,AUTH_829716,REF_9689889,14,1,0.02237093690248566,1.0,False,
TXN_20250701_000073,DART_312,2025-07-01 17:06:16.910100,2025-07-01,BA_ECOM_002,VISA,USD,709.56,10.64,2.84,3.55,692.53,BATCH_20250701_16,COMPLETED,373,AUTH_940346,REF_8795419,17,1,0.024000789221489377,1.0,False,
TXN_20250624_000074,DART_312,2025-06-24 02:06:16.910112,2025-06-24,BA_CALLCENTER_001,AMEX,USD,10.0,0.25,0.06,0.05,9.64,BATCH_20250624_00,COMPLETED,1354,AUTH_954596,REF_9468772,2,1,0.036,1.0000000000000002,False,
TXN_20250702_000075,DART_312,2025-07-02 01:13:16.910126,2025-07-02,BA_ECOM_002,DISCOVER,USD,337.61,5.4,1.35,1.69,329.17,BATCH_20250702_00,COMPLETED,630,AUTH_888295,REF_5147994,1,2,0.024999259500607208,1.0,False,
TXN_20250618_000076,DART_312,2025-06-18 22:24:16.910138,2025-06-18,BA_PARTNER_002,DISCOVER,EUR,60.61,0.97,0.24,0.3,59.1,BATCH_20250618_20,COMPLETED,589,AUTH_387936,REF_8379837,22,2,0.024913380630259035,1.0,False,
TXN_20250712_000077,DART_312,2025-07-12 20:23:16.910154,2025-07-12,BA_ECOM_002,AMEX,USD,110.06,2.75,0.66,0.55,106.1,BATCH_20250712_20,COMPLETED,754,AUTH_666390,REF_2351868,20,5,0.0359803743412684,0.9999999999999999,False,
TXN_20250711_000078,DART_312,2025-07-11 14:27:16.910177,2025-07-11,BA_KIOSK_001,MASTERCARD,EUR,60.95,0.85,0.21,0.3,59.59,BATCH_20250711_12,COMPLETED,538,AUTH_167348,REF_7960328,14,4,0.022313371616078752,1.0,False,
TXN_20250702_000079,DART_312,2025-07-02 08:07:16.910190,2025-07-02,BA_KIOSK_001,DISCOVER,GBP,10.0,0.16,0.04,0.05,9.75,BATCH_20250702_08,COMPLETED,523,AUTH_973349,REF_8048838,8,2,0.025,1.0,False,
TXN_20250702_000080,DART_312,2025-07-02 23:57:16.910202,2025-07-02,BA_ECOM_001,DISCOVER,USD,119.14,1.91,0.48,0.6,116.15,BATCH_20250702_20,COMPLETED,112,AUTH_468845,REF_6009888,23,2,0.025096525096525095,1.0,False,
TXN_20250621_000081,DART_312,2025-06-21 05:47:16.910215,2025-06-21,BA_PARTNER_002,DISCOVER,EUR,83.81,1.34,0.34,0.42,81.71,BATCH_20250621_04,COMPLETED,1630,AUTH_870319,REF_4700025,5,5,0.025056675814341966,1.0,False,
TXN_20250630_000082,DART_312,2025-06-30 11:24:16.910229,2025-06-30,BA_KIOSK_001,DISCOVER,GBP,321.65,5.15,1.29,1.61,313.6,BATCH_20250630_08,COMPLETED,896,AUTH_452457,REF_7783308,11,0,0.025027203482045707,1.0000000000000002,False,
TXN_20250622_000083,DART_312,2025-06-22 12:48:16.910243,2025-06-22,BA_KIOSK_001,MASTERCARD,EUR,29.31,0.41,0.1,0.15,28.65,BATCH_20250622_12,COMPLETED,1193,AUTH_128276,REF_7610562,12,6,0.02251791197543501,1.0,False,
TXN_20250626_000084,DART_312,2025-06-26 23:59:16.910255,2025-06-26,BA_ECOM_001,VISA,EUR,66.12,0.99,0.26,0.33,64.54,BATCH_20250626_20,COMPLETED,977,AUTH_242291,REF_8746014,23,3,0.023895946763460376,1.0,False,
TXN_20250710_000085,DART_312,2025-07-10 17:25:16.910266,2025-07-10,BA_KIOSK_001,AMEX,GBP,29.9,0.75,0.18,0.15,28.82,BATCH_20250710_16,COMPLETED,1031,AUTH_442722,REF_6662319,17,3,0.03612040133779264,1.0,False,
TXN_20250621_000086,DART_312,2025-06-21 06:24:16.910277,2025-06-21,BA_PARTNER_002,DISCOVER,USD,163.77,2.62,0.66,0.82,159.67,BATCH_20250621_04,COMPLETED,1809,AUTH_185884,REF_8890439,6,5,0.025035110215546195,0.9999999999999998,False,
TXN_20250714_000087,DART_312,2025-07-14 19:07:16.910290,2025-07-14,BA_ECOM_001,AMEX,GBP,206.18,5.15,1.24,1.03,198.76,BATCH_20250714_16,COMPLETED,1431,AUTH_171951,REF_1675419,19,0,0.035987971675235236,1.0,False,
TXN_20250621_000088,DART_312,2025-06-21 18:26:16.910302,2025-06-21,BA_ECOM_002,VISA,EUR,87.38,1.31,0.35,0.44,85.28,BATCH_20250621_16,COMPLETED,412,AUTH_350132,REF_3117636,18,5,0.024032959487296866,1.0,False,
TXN_20250629_000089,DART_312,2025-06-29 21:34:16.910314,2025-06-29,BA_CALLCENTER_001,MASTERCARD,USD,101.08,1.42,0.35,0.51,98.8,BATCH_20250629_20,COMPLETED,1532,AUTH_368690,REF_7189034,21,6,0.02255639097744361,1.0,False,
TXN_20250709_000090,DART_312,2025-07-09 23:03:16.910327,2025-07-09,BA_PARTNER_001,VISA,GBP,61.34,0.92,0.25,0.31,59.86,BATCH_20250709_20,COMPLETED,737,AUTH_213349,REF_1430812,23,2,0.024127812194326703,1.0,False,
TXN_20250616_000091,DART_312,2025-06-16 09:05:16.910341,2025-06-16,BA_PARTNER_001,DISCOVER,USD,174.58,2.79,0.7,0.87,170.22,BATCH_20250616_08,COMPLETED,1564,AUTH_307963,REF_2275009,9,0,0.024974223851529385,0.9999999999999998,False,
TXN_20250626_000092,DART_312,2025-06-26 19:48:16.910354,2025-06-26,BA_PARTNER_001,MASTERCARD,GBP,23.51,0.33,0.08,0.12,22.98,BATCH_20250626_16,COMPLETED,1527,AUTH_910004,REF_6059717,19,3,0.022543598468736707,0.9999999999999999,True,unusual_merchant_pattern
TXN_20250617_000093,DART_312,2025-06-17 21:03:16.910367,2025-06-17,BA_PARTNER_002,VISA,EUR,36.85,0.55,0.15,0.18,35.97,BATCH_20250617_20,COMPLETED,1702,AUTH_143064,REF_6825112,21,1,0.023880597014925377,0.9999999999999998,False,
TXN_20250628_000094,DART_312,2025-06-28 04:59:16.910380,2025-06-28,BA_MOBILE_001,VISA,EUR,24.2,0.36,0.1,0.12,23.62,BATCH_20250628_04,COMPLETED,1426,AUTH_457806,REF_1212267,4,5,0.02396694214876033,1.0000000000000002,False,
TXN_20250618_000095,DART_312,2025-06-18 04:49:16.910391,2025-06-18,BA_KIOSK_001,VISA,USD,10.0,0.15,0.04,0.05,9.76,BATCH_20250618_04,COMPLETED,841,AUTH_766459,REF_8713146,4,2,0.024,1.0,False,
TXN_20250623_000096,DART_312,2025-06-23 14:14:16.910402,2025-06-23,BA_ECOM_002,AMEX,EUR,199.56,4.99,1.2,1.0,192.37,BATCH_20250623_12,COMPLETED,1755,AUTH_664315,REF_9111742,14,0,0.03602926438163961,1.0,False,
TXN_20250701_000097,DART_312,2025-07-01 04:49:16.910415,2025-07-01,BA_PARTNER_001,AMEX,USD,74.68,1.87,0.45,0.37,71.99,BATCH_20250701_04,COMPLETED,1844,AUTH_357420,REF_2453962,4,1,0.03602035350830209,1.0,False,
TXN_20250707_000098,DART_312,2025-07-07 04:26:16.910426,2025-07-07,BA_PARTNER_002,DISCOVER,EUR,54.93,0.88,0.22,0.27,53.56,BATCH_20250707_04,COMPLETED,1349,AUTH_800646,REF_7358385,4,0,0.02494083378845804,1.0000000000000002,False,
TXN_20250705_000099,DART_312,2025-07-05 18:10:16.910437,2025-07-05,BA_PARTNER_002,AMEX,GBP,41.2,1.03,0.25,0.21,39.71,BATCH_20250705_16,COMPLETED,1098,AUTH_322423,REF_6952975,18,5,0.03616504854368932,1.0,False,
