is_anomaly,data_file_date,total_transaction_value_rejected,anomaly_reason,total_accepted,total_rejected,rejection_reason_code,transaction_datetime,total_submitted,total_pending,settlement_date,record_type,total_transaction_value_accepted,mcc,record_count,total_transaction_value_pending,merchant_id,transaction_currency,anomaly_type,transaction_amount,party_id,total_settlement_value_accepted
False,20250720,,,,,,20250702 213937,,,20250707,01,,4111,,,AL002,EUR,,154.89,AL001,
False,20250720,,,,,,20250512 213937,,,20250520,01,,4511,,,AL007,EUR,,178.63,AL001,
False,20250720,,,,,,20250501 213937,,,20250510,01,,4111,,,AL004,USD,,204.93,AL001,
False,20250720,,,,,,20250609 213937,,,20250612,01,,4111,,,AL005,USD,,197.58,AL001,
False,20250720,,,,,,20250717 213937,,,20250725,01,,4511,,,AL006,USD,,88.43,AL001,
True,20250720,,Rejected transaction: 1300827893 - see DART spec for reason.,,,1300827893,20250429 213937,,,20250507,03,,4511,,,AL003,EUR,rejected_transaction,187.55,AL001,
False,20250720,,,,,,20250510 213937,,,20250515,01,,4111,,,AL002,GBP,,133.57,AL001,
False,20250720,,,,,,20250508 213937,,,20250513,01,,4511,,,AL000,USD,,148.11,AL001,
False,20250720,,,,,,20250715 213937,,,20250718,01,,4111,,,AL005,GBP,,75.77,AL001,
False,20250720,,,,,,20250515 213937,,,20250521,01,,4511,,,AL000,USD,,194.94,AL001,
False,20250720,,,,,,20250517 213937,,,20250520,01,,4789,,,AL006,EUR,,115.15,AL001,
False,20250720,,,,,,20250522 213937,,,20250526,01,,4111,,,AL005,GBP,,80.68,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250527 213937,,,20250606,01,,4789,,,AL002,EUR,duplicate_transaction,90.32,AL001,
False,20250720,,,,,,20250523 213937,,,20250528,01,,4511,,,AL007,USD,,236.25,AL001,
False,20250720,,,,,,20250607 213937,,,20250610,01,,4789,,,AL000,GBP,,189.23,AL001,
False,20250720,,,,,,20250526 213937,,,20250531,01,,4789,,,AL003,USD,,146.94,AL001,
False,20250720,,,,,,20250603 213937,,,20250612,01,,4111,,,AL004,EUR,,195.05,AL001,
False,20250720,,,,,,20250714 213937,,,20250721,01,,4111,,,AL001,EUR,,167.08,AL001,
False,20250720,,,,,,20250508 213937,,,20250510,01,,4111,,,AL002,USD,,127.18,AL001,
False,20250720,,,,,,20250703 213937,,,20250705,01,,4789,,,AL000,USD,,187.48,AL001,
False,20250720,,,,,,20250630 213937,,,20250704,01,,4789,,,AL001,EUR,,196.31,AL001,
False,20250720,,,,,,20250430 213937,,,20250507,01,,4511,,,AL000,GBP,,93.58,AL001,
False,20250720,,,,,,20250608 213937,,,20250614,01,,4789,,,AL005,USD,,208.02,AL001,
False,20250720,,,,,,20250629 213937,,,20250707,01,,4511,,,AL009,USD,,137.64,AL001,
False,20250720,,,,,,20250526 213937,,,20250602,01,,4511,,,AL002,USD,,52.07,AL001,
False,20250720,,,,,,20250528 213937,,,20250530,01,,4111,,,AL003,USD,,106.23,AL001,
False,20250720,,,,,,20250715 213937,,,20250720,01,,4789,,,AL008,GBP,,134.32,AL001,
False,20250720,,,,,,20250713 213937,,,20250723,01,,4111,,,AL004,USD,,95.55,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250720 213937,,,20250730,02,,4789,,,AL007,EUR,pending_transaction,139.82,AL001,
False,20250720,,,,,,20250703 213937,,,20250705,01,,4511,,,AL001,GBP,,152.27,AL001,
False,20250720,,,,,,20250509 213937,,,20250510,01,,4111,,,AL000,EUR,,169.1,AL001,
False,20250720,,,,,,20250617 213937,,,20250627,01,,4789,,,AL001,GBP,,57.56,AL001,
False,20250720,,,,,,20250607 213937,,,20250610,01,,4511,,,AL003,GBP,,207.1,AL001,
False,20250720,,,,,,20250614 213937,,,20250616,01,,4111,,,AL004,EUR,,169.46,AL001,
True,20250720,,Transaction amount is much higher than channel average.,,,,20250509 213937,,,20250518,01,,4789,,,AL003,USD,outlier_amount,1194.72,AL001,
False,20250720,,,,,,20250603 213937,,,20250606,01,,4789,,,AL003,EUR,,173.35,AL001,
False,20250720,,,,,,20250601 213937,,,20250603,01,,4511,,,AL000,USD,,43.34,AL001,
False,20250720,,,,,,20250525 213937,,,20250529,01,,4511,,,AL000,GBP,,153.29,AL001,
False,20250720,,,,,,20250702 213937,,,20250707,01,,4111,,,AL006,USD,,106.98,AL001,
False,20250720,,,,,,20250620 213937,,,20250624,01,,4511,,,AL000,GBP,,151.95,AL001,
False,20250720,,,,,,20250605 213937,,,20250613,01,,4511,,,AL007,GBP,,128.84,AL001,
False,20250720,,,,,,20250629 213937,,,20250703,01,,4111,,,AL003,USD,,133.45,AL001,
False,20250720,,,,,,20250714 213937,,,20250720,01,,4511,,,AL003,GBP,,152.13,AL001,
False,20250720,,,,,,20250626 213937,,,20250629,01,,4511,,,AL009,USD,,210.35,AL001,
False,20250720,,,,,,20250512 213937,,,20250519,01,,4111,,,AL002,EUR,,233.52,AL001,
False,20250720,,,,,,20250626 213937,,,20250702,01,,4111,,,AL008,USD,,101.27,AL001,
False,20250720,,,,,,20250427 213937,,,20250507,01,,4511,,,AL001,USD,,156.82,AL001,
True,20250720,,Rejected transaction: 1610110033 - see DART spec for reason.,,,1610110033,20250607 213937,,,20250614,03,,4511,,,AL009,USD,rejected_transaction,154.72,AL001,
False,20250720,,,,,,20250627 213937,,,20250706,01,,4111,,,AL003,GBP,,135.53,AL001,
False,20250720,,,,,,20250714 213937,,,20250715,01,,4111,,,AL004,EUR,,162.99,AL001,
False,20250720,,,,,,20250622 213937,,,20250626,01,,4511,,,AL004,GBP,,88.69,AL001,
False,20250720,,,,,,20250430 213937,,,20250501,01,,4511,,,AL009,EUR,,154.11,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250428 213937,,,20250430,02,,4789,,,AL008,GBP,pending_transaction,95.13,AL001,
False,20250720,,,,,,20250529 213937,,,20250530,01,,4789,,,AL008,EUR,,105.87,AL001,
False,20250720,,,,,,20250606 213937,,,20250616,01,,4789,,,AL000,USD,,163.44,AL001,
False,20250720,,,,,,20250518 213937,,,20250522,01,,4789,,,AL009,EUR,,166.72,AL001,
False,20250720,,,,,,20250520 213937,,,20250522,01,,4511,,,AL000,USD,,59.61,AL001,
False,20250720,,,,,,20250604 213937,,,20250607,01,,4789,,,AL006,USD,,157.39,AL001,
True,20250720,,Settlement date is much later than transaction date.,,,,20250606 213937,,,20250613,01,,4789,,,AL008,USD,timing_mismatch,268.6,AL001,
False,20250720,,,,,,20250610 213937,,,20250614,01,,4511,,,AL002,GBP,,141.24,AL001,
False,20250720,,,,,,20250421 213937,,,20250501,01,,4111,,,AL002,GBP,,64.54,AL001,
False,20250720,,,,,,20250505 213937,,,20250506,01,,4511,,,AL008,EUR,,156.77,AL001,
False,20250720,,,,,,20250603 213937,,,20250612,01,,4511,,,AL008,USD,,193.62,AL001,
False,20250720,,,,,,20250508 213937,,,20250516,01,,4111,,,AL000,EUR,,167.52,AL001,
False,20250720,,,,,,20250503 213937,,,20250513,01,,4111,,,AL008,EUR,,159.48,AL001,
False,20250720,,,,,,20250703 213937,,,20250706,01,,4111,,,AL005,EUR,,141.4,AL001,
False,20250720,,,,,,20250501 213937,,,20250503,01,,4789,,,AL001,EUR,,161.76,AL001,
False,20250720,,,,,,20250710 213937,,,20250718,01,,4789,,,AL006,USD,,111.52,AL001,
False,20250720,,,,,,20250529 213937,,,20250601,01,,4789,,,AL002,USD,,123.52,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250719 213937,,,20250725,01,,4511,,,AL005,GBP,duplicate_transaction,204.41,AL001,
False,20250720,,,,,,20250624 213937,,,20250701,01,,4511,,,AL001,GBP,,151.26,AL001,
False,20250720,,,,,,20250714 213937,,,20250720,01,,4789,,,AL006,GBP,,258.83,AL001,
False,20250720,,,,,,20250620 213937,,,20250624,01,,4511,,,AL002,EUR,,207.91,AL001,
False,20250720,,,,,,20250619 213937,,,20250629,01,,4111,,,AL004,USD,,105.72,AL001,
False,20250720,,,,,,20250528 213937,,,20250605,01,,4111,,,AL007,GBP,,191.05,AL001,
False,20250720,,,,,,20250625 213937,,,20250627,01,,4511,,,AL006,GBP,,94.23,AL001,
False,20250720,,,,,,20250526 213937,,,20250531,01,,4511,,,AL000,EUR,,66.69,AL001,
False,20250720,,,,,,20250614 213937,,,20250618,01,,4511,,,AL000,GBP,,143.44,AL001,
False,20250720,,,,,,20250701 213937,,,20250707,01,,4111,,,AL000,GBP,,149.22,AL001,
False,20250720,,,,,,20250530 213937,,,20250601,01,,4111,,,AL007,USD,,271.65,AL001,
False,20250720,,,,,,20250422 213937,,,20250502,01,,4511,,,AL007,EUR,,102.2,AL001,
False,20250720,,,,,,20250514 213937,,,20250515,01,,4789,,,AL009,USD,,113.88,AL001,
False,20250720,,,,,,20250515 213937,,,20250518,01,,4789,,,AL002,GBP,,73.38,AL001,
False,20250720,,,,,,20250607 213937,,,20250610,01,,4511,,,AL006,GBP,,170.59,AL001,
False,20250720,,,,,,20250614 213937,,,20250618,01,,4511,,,AL002,EUR,,145.97,AL001,
False,20250720,,,,,,20250624 213937,,,20250629,01,,4789,,,AL006,EUR,,197.29,AL001,
False,20250720,,,,,,20250603 213937,,,20250604,01,,4511,,,AL001,EUR,,96.47,AL001,
False,20250720,,,,,,20250622 213937,,,20250701,01,,4511,,,AL001,EUR,,119.5,AL001,
True,20250720,,Rejected transaction: 1610111253 - see DART spec for reason.,,,1610111253,20250511 213937,,,20250518,03,,4511,,,AL006,USD,rejected_transaction,75.01,AL001,
False,20250720,,,,,,20250524 213937,,,20250528,01,,4789,,,AL005,USD,,189.82,AL001,
False,20250720,,,,,,20250628 213937,,,20250703,01,,4111,,,AL000,USD,,134.81,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250514 213937,,,20250516,02,,4789,,,AL001,USD,pending_transaction,170.52,AL001,
False,20250720,,,,,,20250626 213937,,,20250629,01,,4111,,,AL001,GBP,,205.19,AL001,
False,20250720,,,,,,20250430 213937,,,20250510,01,,4511,,,AL006,USD,,59.82,AL001,
False,20250720,,,,,,20250524 213937,,,20250603,01,,4111,,,AL005,EUR,,236.78,AL001,
False,20250720,,,,,,20250707 213937,,,20250710,01,,4511,,,AL003,EUR,,105.38,AL001,
False,20250720,,,,,,20250616 213937,,,20250626,01,,4789,,,AL006,EUR,,122.85,AL001,
False,20250720,,,,,,20250607 213937,,,20250611,01,,4511,,,AL003,USD,,132.87,AL001,
False,20250720,,,,,,20250525 213937,,,20250602,01,,4511,,,AL003,USD,,143.36,AL001,
False,20250720,,,,,,20250610 213937,,,20250616,01,,4789,,,AL002,EUR,,142.66,AL001,
False,20250720,,,,,,20250423 213937,,,20250428,01,,4789,,,AL005,EUR,,173.53,AL001,
False,20250720,,,,,,20250523 213937,,,20250529,01,,4789,,,AL005,EUR,,228.67,AL001,
False,20250720,,,,,,20250628 213937,,,20250702,01,,4111,,,AL006,GBP,,180.71,AL001,
False,20250720,,,,,,20250504 213937,,,20250513,01,,4789,,,AL004,GBP,,169.85,AL001,
False,20250720,,,,,,20250526 213937,,,20250529,01,,4511,,,AL003,GBP,,228.55,AL001,
False,20250720,,,,,,20250425 213937,,,20250502,01,,4511,,,AL002,EUR,,180.8,AL001,
False,20250720,,,,,,20250504 213937,,,20250505,01,,4511,,,AL002,EUR,,213.86,AL001,
False,20250720,,,,,,20250717 213937,,,20250721,01,,4789,,,AL001,USD,,177.82,AL001,
False,20250720,,,,,,20250706 213937,,,20250714,01,,4789,,,AL002,GBP,,124.05,AL001,
False,20250720,,,,,,20250526 213937,,,20250603,01,,4511,,,AL004,GBP,,180.37,AL001,
False,20250720,,,,,,20250619 213937,,,20250626,01,,4789,,,AL009,USD,,72.91,AL001,
False,20250720,,,,,,20250524 213937,,,20250602,01,,4111,,,AL002,GBP,,90.02,AL001,
False,20250720,,,,,,20250524 213937,,,20250527,01,,4111,,,AL001,GBP,,-9.14,AL001,
False,20250720,,,,,,20250421 213937,,,20250428,01,,4511,,,AL002,EUR,,154.0,AL001,
False,20250720,,,,,,20250511 213937,,,20250515,01,,4789,,,AL002,EUR,,133.98,AL001,
False,20250720,,,,,,20250621 213937,,,20250701,01,,4511,,,AL000,GBP,,210.84,AL001,
False,20250720,,,,,,20250616 213937,,,20250619,01,,4789,,,AL002,USD,,94.6,AL001,
False,20250720,,,,,,20250517 213937,,,20250522,01,,4789,,,AL001,GBP,,167.18,AL001,
False,20250720,,,,,,20250520 213937,,,20250530,01,,4789,,,AL009,GBP,,156.07,AL001,
False,20250720,,,,,,20250502 213937,,,20250507,01,,4789,,,AL001,GBP,,138.02,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250510 213937,,,20250513,01,,4511,,,AL009,GBP,duplicate_transaction,85.54,AL001,
False,20250720,,,,,,20250423 213937,,,20250501,01,,4111,,,AL006,GBP,,175.65,AL001,
False,20250720,,,,,,20250512 213937,,,20250519,01,,4111,,,AL004,EUR,,150.15,AL001,
False,20250720,,,,,,20250716 213937,,,20250722,01,,4111,,,AL003,GBP,,146.21,AL001,
False,20250720,,,,,,20250602 213937,,,20250607,01,,4111,,,AL006,EUR,,190.47,AL001,
False,20250720,,,,,,20250531 213937,,,20250605,01,,4789,,,AL008,GBP,,139.82,AL001,
False,20250720,,,,,,20250627 213937,,,20250706,01,,4789,,,AL006,GBP,,145.11,AL001,
False,20250720,,,,,,20250630 213937,,,20250702,01,,4111,,,AL006,GBP,,29.73,AL001,
False,20250720,,,,,,20250502 213937,,,20250511,01,,4789,,,AL006,GBP,,211.21,AL001,
False,20250720,,,,,,20250516 213937,,,20250519,01,,4789,,,AL001,GBP,,148.2,AL001,
False,20250720,,,,,,20250512 213937,,,20250516,01,,4111,,,AL005,USD,,164.68,AL001,
False,20250720,,,,,,20250526 213937,,,20250531,01,,4111,,,AL008,EUR,,213.51,AL001,
False,20250720,,,,,,20250602 213937,,,20250609,01,,4511,,,AL007,EUR,,192.93,AL001,
False,20250720,,,,,,20250421 213937,,,20250425,01,,4511,,,AL001,GBP,,228.34,AL001,
False,20250720,,,,,,20250616 213937,,,20250623,01,,4111,,,AL009,GBP,,120.52,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250516 213937,,,20250517,01,,4511,,,AL004,USD,duplicate_transaction,215.75,AL001,
False,20250720,,,,,,20250712 213937,,,20250722,01,,4511,,,AL000,USD,,137.14,AL001,
False,20250720,,,,,,20250709 213937,,,20250718,01,,4511,,,AL002,USD,,157.59,AL001,
False,20250720,,,,,,20250424 213937,,,20250504,01,,4111,,,AL006,EUR,,249.72,AL001,
False,20250720,,,,,,20250625 213937,,,20250703,01,,4511,,,AL005,EUR,,160.64,AL001,
False,20250720,,,,,,20250604 213937,,,20250612,01,,4111,,,AL000,EUR,,120.16,AL001,
False,20250720,,,,,,20250528 213937,,,20250603,01,,4111,,,AL008,GBP,,115.44,AL001,
False,20250720,,,,,,20250430 213937,,,20250501,01,,4511,,,AL008,EUR,,149.13,AL001,
False,20250720,,,,,,20250719 213937,,,20250722,01,,4111,,,AL002,USD,,143.84,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250529 213937,,,20250602,02,,4111,,,AL000,GBP,pending_transaction,161.2,AL001,
False,20250720,,,,,,20250525 213937,,,20250604,01,,4511,,,AL001,GBP,,193.95,AL001,
False,20250720,,,,,,20250703 213937,,,20250713,01,,4789,,,AL006,USD,,170.02,AL001,
False,20250720,,,,,,20250525 213937,,,20250526,01,,4789,,,AL003,GBP,,163.7,AL001,
False,20250720,,,,,,20250516 213937,,,20250524,01,,4511,,,AL006,EUR,,158.7,AL001,
False,20250720,,,,,,20250711 213937,,,20250714,01,,4789,,,AL000,GBP,,180.49,AL001,
False,20250720,,,,,,20250604 213937,,,20250606,01,,4111,,,AL004,GBP,,83.99,AL001,
False,20250720,,,,,,20250531 213937,,,20250606,01,,4511,,,AL001,EUR,,177.56,AL001,
True,20250720,,Settlement date is much later than transaction date.,,,,20250510 213937,,,20250514,01,,4111,,,AL006,GBP,timing_mismatch,145.96,AL001,
False,20250720,,,,,,20250605 213937,,,20250609,01,,4111,,,AL008,EUR,,168.53,AL001,
False,20250720,,,,,,20250424 213937,,,20250425,01,,4789,,,AL001,EUR,,165.77,AL001,
False,20250720,,,,,,20250609 213937,,,20250619,01,,4511,,,AL009,GBP,,176.83,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250702 213937,,,20250703,02,,4111,,,AL005,EUR,pending_transaction,92.48,AL001,
False,20250720,,,,,,20250720 213937,,,20250723,01,,4789,,,AL004,EUR,,193.56,AL001,
False,20250720,,,,,,20250613 213937,,,20250621,01,,4511,,,AL009,GBP,,163.32,AL001,
False,20250720,,,,,,20250528 213937,,,20250606,01,,4111,,,AL000,GBP,,109.22,AL001,
False,20250720,,,,,,20250521 213937,,,20250527,01,,4511,,,AL002,GBP,,158.86,AL001,
False,20250720,,,,,,20250524 213937,,,20250526,01,,4111,,,AL006,USD,,81.58,AL001,
False,20250720,,,,,,20250628 213937,,,20250629,01,,4511,,,AL002,USD,,245.67,AL001,
False,20250720,,,,,,20250528 213937,,,20250602,01,,4789,,,AL009,USD,,178.73,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250430 213937,,,20250501,02,,4511,,,AL002,EUR,pending_transaction,126.01,AL001,
False,20250720,,,,,,20250619 213937,,,20250629,01,,4789,,,AL001,GBP,,158.5,AL001,
False,20250720,,,,,,20250624 213937,,,20250627,01,,4111,,,AL009,GBP,,215.85,AL001,
False,20250720,,,,,,20250511 213937,,,20250513,01,,4511,,,AL009,GBP,,150.31,AL001,
False,20250720,,,,,,20250709 213937,,,20250717,01,,4111,,,AL001,GBP,,139.78,AL001,
False,20250720,,,,,,20250425 213937,,,20250504,01,,4789,,,AL000,GBP,,175.76,AL001,
False,20250720,,,,,,20250501 213937,,,20250502,01,,4789,,,AL004,EUR,,201.57,AL001,
False,20250720,,,,,,20250528 213937,,,20250601,01,,4511,,,AL008,USD,,163.49,AL001,
False,20250720,,,,,,20250710 213937,,,20250717,01,,4111,,,AL004,EUR,,70.51,AL001,
False,20250720,,,,,,20250707 213937,,,20250709,01,,4789,,,AL009,EUR,,85.47,AL001,
False,20250720,,,,,,20250423 213937,,,20250424,01,,4111,,,AL002,EUR,,157.09,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250423 213937,,,20250425,01,,4511,,,AL003,USD,duplicate_transaction,56.34,AL001,
False,20250720,,,,,,20250514 213937,,,20250517,01,,4511,,,AL002,GBP,,153.01,AL001,
False,20250720,,,,,,20250710 213937,,,20250718,01,,4789,,,AL009,USD,,204.62,AL001,
False,20250720,,,,,,20250606 213937,,,20250613,01,,4511,,,AL006,USD,,140.26,AL001,
False,20250720,,,,,,20250507 213937,,,20250508,01,,4511,,,AL008,GBP,,108.82,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250423 213937,,,20250427,02,,4111,,,AL006,USD,pending_transaction,164.56,AL001,
False,20250720,,,,,,20250607 213937,,,20250615,01,,4111,,,AL008,EUR,,164.9,AL001,
False,20250720,,,,,,20250717 213937,,,20250720,01,,4511,,,AL009,EUR,,201.12,AL001,
False,20250720,,,,,,20250515 213937,,,20250523,01,,4111,,,AL001,GBP,,62.37,AL001,
False,20250720,,,,,,20250701 213937,,,20250703,01,,4111,,,AL001,USD,,134.67,AL001,
False,20250720,,,,,,20250614 213937,,,20250623,01,,4789,,,AL007,EUR,,180.93,AL001,
False,20250720,,,,,,20250708 213937,,,20250712,01,,4511,,,AL005,GBP,,30.52,AL001,
False,20250720,,,,,,20250617 213937,,,20250623,01,,4511,,,AL003,USD,,159.14,AL001,
False,20250720,,,,,,20250527 213937,,,20250605,01,,4511,,,AL000,EUR,,172.13,AL001,
False,20250720,,,,,,20250512 213937,,,20250521,01,,4511,,,AL008,EUR,,175.93,AL001,
False,20250720,,,,,,20250705 213937,,,20250709,01,,4789,,,AL003,EUR,,254.63,AL001,
False,20250720,,,,,,20250601 213937,,,20250607,01,,4111,,,AL005,GBP,,171.25,AL001,
False,20250720,,,,,,20250628 213937,,,20250701,01,,4789,,,AL007,EUR,,191.82,AL001,
False,20250720,,,,,,20250507 213937,,,20250513,01,,4789,,,AL001,GBP,,135.45,AL001,
False,20250720,,,,,,20250612 213937,,,20250618,01,,4511,,,AL000,EUR,,82.89,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250704 213937,,,20250707,01,,4111,,,AL000,USD,duplicate_transaction,101.39,AL001,
False,20250720,,,,,,20250423 213937,,,20250502,01,,4789,,,AL007,GBP,,188.99,AL001,
False,20250720,,,,,,20250518 213937,,,20250526,01,,4789,,,AL000,EUR,,234.59,AL001,
False,20250720,,,,,,20250620 213937,,,20250625,01,,4111,,,AL002,EUR,,129.15,AL001,
False,20250720,,,,,,20250528 213937,,,20250604,01,,4789,,,AL005,USD,,109.46,AL001,
False,20250720,,,,,,20250616 213937,,,20250626,01,,4111,,,AL004,EUR,,261.01,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250519 213937,,,20250528,02,,4789,,,AL001,GBP,pending_transaction,149.68,AL001,
False,20250720,,,,,,20250503 213937,,,20250513,01,,4789,,,AL000,USD,,101.71,AL001,
False,20250720,,,,,,20250613 213937,,,20250621,01,,4511,,,AL000,EUR,,233.02,AL001,
False,20250720,,,,,,20250613 213937,,,20250618,01,,4789,,,AL009,EUR,,238.58,AL001,
False,20250720,,,,,,20250625 213937,,,20250703,01,,4511,,,AL009,USD,,187.2,AL001,
False,20250720,,,,,,20250515 213937,,,20250524,01,,4511,,,AL000,USD,,108.84,AL001,
False,20250720,,,,,,20250610 213937,,,20250616,01,,4111,,,AL006,USD,,144.2,AL001,
True,20250720,,Rejected transaction: 1610111253 - see DART spec for reason.,,,1610111253,20250625 213937,,,20250630,03,,4111,,,AL000,USD,rejected_transaction,89.13,AL001,
False,20250720,,,,,,20250427 213937,,,20250430,01,,4511,,,AL003,GBP,,141.25,AL001,
