processing_date,party_name,record_type,is_anomaly,record_count,anomaly_type,anomaly_reason,party_id,currency,settlement_currency,amount
20250504,,01,False,,,,AL001,GBP,,196.61
20250525,,01,False,,,,AL001,EUR,,207.02
20250605,,01,False,,,,AL001,GBP,,67.28
20250423,,01,False,,,,AL001,GBP,,111.88
20250515,,01,False,,,,AL001,EUR,,89.42
20250519,,01,False,,,,AL001,EUR,,106.98
20250516,,01,False,,,,AL001,USD,,137.87
20250603,,01,False,,,,AL001,USD,,160.18
20250513,,01,False,,,,AL001,EUR,,216.91
20250522,,01,False,,,,AL001,GBP,,69.91
20250616,,01,False,,,,AL001,USD,,119.08
20250424,,01,False,,,,AL001,USD,,222.37
20250713,,01,False,,,,AL001,EUR,,225.2
20250428,,01,False,,,,AL001,EUR,,220.81
20250619,,01,False,,,,AL001,EUR,,255.11
20250620,,01,False,,,,AL001,GBP,,100.34
20250706,,01,True,,funding_anomaly,Unexpected negative or positive swing in funding detected.,AL001,GBP,,160.84
20250615,,01,False,,,,AL001,GBP,,101.85
20250504,,01,False,,,,AL001,USD,,99.34
20250606,,01,False,,,,AL001,USD,,127.1
20250709,,01,False,,,,AL001,USD,,122.87
20250504,,01,False,,,,AL001,EUR,,137.99
20250528,,01,False,,,,AL001,USD,,145.12
20250708,,01,False,,,,AL001,USD,,168.8
20250607,,01,False,,,,AL001,EUR,,143.69
20250426,,01,False,,,,AL001,USD,,155.76
20250713,,01,False,,,,AL001,EUR,,91.42
20250531,,01,False,,,,AL001,USD,,178.13
20250502,,01,False,,,,AL001,EUR,,165.01
20250512,,01,False,,,,AL001,EUR,,67.75
20250526,,01,False,,,,AL001,EUR,,147.98
20250430,,01,False,,,,AL001,GBP,,93.28
20250503,,01,False,,,,AL001,EUR,,116.03
20250531,,01,False,,,,AL001,GBP,,193.87
20250709,,01,True,,funding_anomaly,Unexpected negative or positive swing in funding detected.,AL001,GBP,,95.28
20250602,,01,False,,,,AL001,EUR,,159.83
20250709,,01,False,,,,AL001,USD,,63.35
20250711,,01,False,,,,AL001,GBP,,165.74
,,99,,201,,,,,,
